,COUNTY,FIPS,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioencomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada County,16001002221,0.484,0.0943,0.077,0.228,0.1313,58.78275194229863,1.4893312454223633,45.33000000000004,43.07757337344298,232.51835608871295,5538.0
1,Ada County,16001002310,0.713,0.4815,0.538,0.552,0.2121,30.75665307577024,1.4893312454223633,45.47000000000003,44.42581677495894,232.1130205392839,6169.0
2,Ada County,16001002411,0.606,0.4444,0.481,0.4,0.3367,55.18635624575647,1.4893312454223633,44.05000000000001,43.54331571457617,230.6587311694754,3454.0
3,Ada County,16001010221,0.205,0.0741,0.232,0.299,0.0067,76.62804340898487,1.4893312454223633,42.910000000000025,39.55755116348443,243.8022041512636,4055.0
4,Ada County,16001010223,0.289,0.2828,0.407,0.744,0.1852,59.31877088419191,1.4893312454223633,49.79000000000002,41.79888301491758,238.87074212853997,4128.0
5,Ada County,16001010225,0.451,0.3165,0.329,0.693,0.1987,58.39071772776997,1.4893312454223633,46.25000000000006,41.41568794241867,,5318.0
6,Ada County,16001010313,0.393,0.1414,0.158,0.367,0.0875,65.7887354913667,1.4893312454223633,45.89000000000004,41.8287719339707,229.52888512926478,13010.0
7,Ada County,16001010321,0.595,0.5657,0.811,0.912,0.1347,33.0266139594835,1.4893312454223633,45.89000000000004,45.00894339206437,232.14074486055534,4763.0
8,Ada County,16001010331,0.447,0.101,0.131,0.434,0.0337,65.27870794489912,1.4893312454223633,44.75000000000006,42.02750505121424,240.5299416675216,13059.0
9,Ada County,16001010332,0.538,0.1246,0.037,0.771,0.1212,64.44501508634525,1.4893312454223633,44.73000000000002,43.48232087369773,243.06400370778496,7570.0
10,Ada County,16001010333,0.582,0.4343,0.552,0.686,0.1785,55.33200530986968,1.4893312454223633,45.05000000000001,43.826882321556944,238.76939053239144,7201.0
11,Ada County,16001010334,0.414,0.1178,0.04,0.801,0.1246,75.41139931193396,1.4893312454223633,44.35000000000002,41.5785112445574,,4053.0
12,Ada County,16001010335,0.373,0.1313,0.121,0.471,0.138,80.78171342544283,1.4893312454223633,44.150000000000034,40.06061811777163,,12961.0
13,Ada County,16001010504,0.643,0.0808,0.043,0.272,0.0572,20.24626438572733,1.4893312454223633,47.59000000000003,44.54220167989455,,4054.0
14,Ada County,16001010401,0.525,0.3502,0.181,0.676,0.3636,69.08132389287584,0.0,44.59000000000003,40.64922337651643,237.01721339162088,12366.0
15,Ada County,16001010503,0.781,0.4512,0.683,0.336,0.101,0.5392561426000019,1.4893312454223633,56.57000000000005,52.93212735414427,,2714.0
16,Adams County,16003950200,0.026,0.3367,0.531,0.151,0.633,59.430353054692254,0.0,52.610000000000014,37.71845117095911,260.54492689384085,1716.0
17,Ada County,16001000100,0.494,0.4579,0.801,0.013,0.5791,24.898287271815704,1.4893312454223633,44.79000000000002,43.33269821808076,231.01914063421737,2642.0
18,Ada County,16001000302,0.639,0.7306,0.797,0.797,0.4377,73.1046516278697,1.4893312454223633,43.81,42.57685315904142,226.71669781208038,2269.0
19,Ada County,16001000303,0.569,0.2424,0.222,0.235,0.3064,63.79070316901618,1.4893312454223633,43.190000000000055,41.92241518646351,,1385.0
20,Ada County,16001000802,0.528,0.2694,0.424,0.289,0.1684,62.94664561424628,1.4893312454223633,44.25000000000006,43.361544643422185,233.40919715166086,3563.0
21,Ada County,16001000900,0.622,0.6162,0.865,0.02,0.7441,42.882096238996965,1.4893312454223633,43.150000000000034,42.45189880231468,233.40919715166086,3595.0
22,Ada County,16001001400,0.686,0.7778,0.784,0.42,0.6296,45.221832959776464,1.4893312454223633,45.910000000000025,44.55909299345876,231.71014925701857,3480.0
23,Ada County,16001001700,0.727,0.8081,0.67,0.346,0.8653,48.18482777534284,1.4893312454223633,43.43000000000001,42.47529501267964,233.40919715166086,3706.0
24,Ada County,16001010224,0.377,0.064,0.124,0.393,0.0236,76.5372001776528,1.4893312454223633,45.23000000000002,41.018369388057536,,2858.0
25,Ada County,16001010322,0.569,0.8114,0.754,0.835,0.7071,44.319633420511046,1.4893312454223633,45.27000000000004,43.92712860567628,231.47306991646755,4569.0
26,Ada County,16001010402,0.548,0.1616,0.063,0.737,0.1886,59.02755972852313,0.0,45.85000000000002,41.93598521586404,234.63651362815145,7109.0
27,Bannock County,16005000400,0.404,0.0673,0.023,0.538,0.1448,77.97941536169199,1.6579580307006836,42.31,38.07000241975911,123.09535223245615,4300.0
28,Bannock County,16005000900,0.501,0.5253,0.643,0.323,0.4646,63.07319256882786,1.6579580307006836,41.29000000000002,40.91627130434785,102.19291859865194,1718.0
29,Bannock County,16005001300,0.569,0.6465,0.636,0.565,0.5892,62.177291503404206,1.6579580307006836,40.93000000000001,40.61550041585807,102.19291859865194,2232.0
30,Shoshone County,16079960200,0.131,0.4276,0.414,0.309,0.7138,99.36954653201312,0.0,34.43000000000001,21.647363627876683,261.766302419153,3886.0
31,Bannock County,16005001900,0.387,0.3098,0.451,0.38,0.2963,60.20968916094802,0.0,49.450000000000045,34.6161942578173,113.96884982447799,4016.0
32,Twin Falls County,16083000200,0.363,0.3872,0.471,0.855,0.2424,51.248136089670496,0.9974994659423846,44.170000000000016,42.16620866031399,,4464.0
33,Ada County,16001001900,0.649,0.5286,0.188,0.774,0.5758,40.44155638408758,1.4893312454223633,46.39000000000004,45.69506441525952,232.32370280631022,3233.0
34,Ada County,16001002000,0.801,0.963,0.996,0.232,0.9428,19.09426520225084,1.4893312454223633,46.35000000000002,45.71890264355881,229.03816488855185,3845.0
35,Ada County,16001002100,0.151,0.0303,0.033,0.074,0.2492,4.106635597450527,1.4893312454223633,54.01000000000005,49.04207692952449,233.42823374963308,1283.0
36,Ada County,16001002222,0.434,0.0606,0.013,0.316,0.2357,56.755660017080366,0.0,43.83000000000004,42.78969821580291,233.01687273780485,3213.0
37,Ada County,16001002223,0.367,0.0202,0.006,0.242,0.037,57.85587396675208,1.4893312454223633,45.21000000000004,43.29628605115185,,2828.0
38,Bear Lake County,16007950200,0.107,0.1044,0.111,0.329,0.2828,60.69162167588422,0.0,47.83000000000004,32.21877986392363,76.48205990844444,2353.0
39,Bingham County,16011940000,0.707,0.9428,0.747,0.939,0.9933,53.79981981427528,0.0,52.55000000000001,42.96464608564329,,2283.0
40,Bannock County,16005940000,0.703,0.8148,0.34,0.973,0.8586,64.59754492664939,1.6579580307006836,47.33000000000004,36.38988478033717,,1641.0
41,Bear Lake County,16007950100,0.053,0.4983,0.632,0.781,0.5589,49.91891627378035,0.0,50.450000000000045,38.7188597845907,72.40869016822533,3175.0
42,Bingham County,16011950300,0.946,0.8316,0.575,0.636,0.7508,32.8379666757593,0.0,52.29000000000002,44.51504350846585,136.7759911157805,4629.0
