,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001000100,0.697,0.8209,0.8788,0.2357,0.8345,29.19055361415148,1.6426706314086914,46.31,43.51310555441693,231.01914063421737,2628.0
1,Ada,16001000201,0.0505,0.0405,0.2795,0.0741,0.0709,21.25148735208486,1.6426706314086914,51.75000000000006,45.13022362785141,,2082.0
2,Ada,16001000202,0.3872,0.0169,0.064,0.1111,0.0068,18.798873506676674,1.6426706314086914,50.450000000000045,47.17000262642295,,3660.0
3,Ada,16001000302,0.6296,0.4358,0.7273,0.1515,0.2669,80.81895551162727,1.6426706314086914,49.93000000000001,43.21956713630968,226.71669781208038,2339.0
4,Ada,16001000303,0.2323,0.3007,0.5623,0.5084,0.1959,68.53705359655319,1.6426706314086914,44.83000000000004,40.717407278728416,,1381.0
5,Ada,16001000304,0.6094,0.1554,0.0976,0.1987,0.2568,73.99386317074492,1.6426706314086914,48.71000000000004,45.018672290720346,,4220.0
6,Ada,16001000400,0.6397,0.5777,0.798,0.1582,0.4155,65.26489437955894,1.6426706314086914,50.03000000000003,42.16856639032658,226.71669781208038,4175.0
7,Ada,16001000500,0.2155,0.1993,0.3367,0.2424,0.2534,87.91488436521513,1.6426706314086914,50.03000000000003,47.01340123598079,226.71669781208038,3871.0
8,Ada,16001000600,0.3805,0.0236,0.1448,0.037,0.0203,92.28645980928688,1.6426706314086914,46.93000000000001,44.68252132378032,227.72201808289316,3646.0
9,Ada,16001000701,0.0875,0.098,0.6801,0.0943,0.0169,76.69252613568159,1.6426706314086914,48.05000000000001,40.40781601341699,,3021.0
10,Ada,16001000702,0.4545,0.0135,0.0438,0.0673,0.0034,28.32397576502969,1.6426706314086914,50.71000000000004,42.18896992109387,,2111.0
11,Ada,16001000802,0.5623,0.1149,0.1919,0.165,0.0777,82.64207831317061,1.6426706314086914,43.75000000000006,35.004287701549195,233.40919715166086,3559.0
12,Ada,16001000803,0.5185,0.0439,0.1246,0.0303,0.0676,82.92714391683423,1.6426706314086914,39.71000000000004,35.63009148170373,233.40979548857945,2965.0
