FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.290472208,Ada,0.6272,0.63,0.8422,0.1863,0.67,28.976749419673126,1.4668188095092756,52.63000000000005,43.88100179697299,,3247.0,3866.322707907135,90041.0,756.7931552955068
16001000200,48.34291995,Ada,0.3799,0.125,0.3942,0.0752,0.028,15.573499603012184,1.4668188095092756,60.81,47.37633165071582,,7261.0,2811.19603690107,206286.0,150.19779540643987
16001000301,6.183234462000001,Ada,0.491,0.136,0.3261,0.0716,0.025,73.3593229490453,1.4668188095092756,54.35000000000002,43.63311706224718,,7029.0,3345.1092738343923,207301.0,1136.783675792626
16001000302,2.057457956,Ada,0.5949,0.756,0.8637,0.9032,0.344,82.10234005566302,1.4668188095092756,52.370000000000005,43.513622424531256,,2757.0,3418.9214243553806,79134.0,1340.003080966968
16001000400,3.959828478,Ada,0.6953,0.738,0.9247,0.4121,0.616,64.61672308703365,1.4668188095092756,51.99000000000001,42.39383038511736,,5045.0,3743.116508370448,139822.0,1274.045082515314
16001000500,3.094456921,Ada,0.4265,0.179,0.1362,0.2688,0.315,91.88715039819532,1.4668188095092756,53.85000000000002,43.01406030448445,,4866.0,3647.592233903381,133626.0,1572.4891715175374
16001000600,2.065208159,Ada,0.448,0.143,0.344,0.0465,0.111,93.23446937414886,1.4668188095092756,52.13000000000005,43.34797309607049,,4524.0,3733.1984513878647,121049.0,2190.578213767361
16001000700,19.38290978,Ada,0.5017,0.189,0.5304,0.0573,0.078,31.193853840855056,1.4668188095092756,60.09000000000003,45.978764099776114,,6582.0,2964.472041147006,189136.0,339.57749763616755
16001000801,5.886933795,Ada,0.4802,0.215,0.5806,0.0609,0.129,71.81488688651132,1.4668188095092756,50.63000000000005,43.10187960762119,,7156.0,3398.3073803381576,217157.0,1215.5733781273143
16001000802,2.818506758,Ada,0.5698,0.197,0.2473,0.2974,0.068,74.93133032810003,1.4668188095092756,51.77000000000004,43.562577416281336,,4541.0,3330.179781629323,132200.0,1611.1368145954966
16001000803,2.333674704,Ada,0.3655,0.053,0.0465,0.1326,0.1,69.89341813710766,1.4668188095092756,52.35000000000002,43.80429696330753,,3582.0,3120.438052010996,112502.0,1534.918295964869
16001000900,2.6541073390000003,Ada,0.7025,0.594,0.9318,0.0537,0.541,51.53179176837046,1.4668188095092756,51.150000000000034,42.94326154198264,,4754.0,3572.852501506718,138333.0,1791.1860346202825
16001001000,4.463609222,Ada,0.724,0.681,0.9426,0.5448,0.247,77.28670262449404,1.4668188095092756,52.670000000000016,43.23240200040481,,4965.0,3599.3825883915915,153514.0,1112.3285558979428
16001001100,5.532476161999999,Ada,0.9211,0.949,0.9605,0.81,0.738,32.45781893573929,1.4668188095092756,51.01000000000005,42.873042872665565,,3423.0,3639.02284410558,101758.0,618.7103025424659
16001001201,2.146885194,Ada,0.3799,0.06,0.0609,0.2329,0.0,88.18931358005892,1.4668188095092756,51.73000000000002,43.20058217217292,,2825.0,3613.137924105413,89830.0,1315.8598363317976
16001001202,3.238438061,Ada,0.7347,0.82,0.9175,0.8243,0.383,54.98903089257215,1.4668188095092756,53.410000000000025,44.38177031690374,,5277.0,3584.4475376192167,164499.0,1629.4892477796875
16001001400,2.640226085,Ada,0.7311,0.774,0.8243,0.8781,0.304,62.40105438766936,1.4668188095092756,53.77000000000004,44.51740447480377,,4432.0,3351.289383604602,133189.0,1678.644122630127
16001001500,2.559051632,Ada,0.5949,0.315,0.1899,0.6881,0.057,73.90718051474039,1.4668188095092756,50.93000000000001,42.903766152551455,,2901.0,3397.546181099501,85272.0,1133.6230827561512
16001001600,3.163079692,Ada,0.2616,0.229,0.5232,0.2365,0.279,56.45792176207025,1.4668188095092756,53.47000000000003,43.55169197009129,,3520.0,3228.041668498553,105340.0,1112.8394927585025
16001001700,2.042765568,Ada,0.8136,0.734,0.7526,0.5878,0.48,68.60881229025956,1.4668188095092756,51.150000000000034,42.73471183686502,,4743.0,3308.6475291577062,140849.0,2321.8523330818152
16001001800,3.620813063,Ada,0.6774,0.43,0.4444,0.6272,0.089,66.60909935266784,1.4668188095092756,54.170000000000016,44.14311930880496,,3771.0,3173.348743878736,110526.0,1041.4787878818477
16001001900,2.999285145,Ada,0.4946,0.232,0.1254,0.663,0.021,60.91974782756859,1.4668188095092756,54.170000000000016,45.450981043326216,,4242.0,3239.2657427535837,130584.0,1414.3370152956898
16001002000,4.54989606,Ada,0.8458,0.946,0.9749,0.7741,0.831,24.640778051210408,1.4668188095092756,54.83000000000004,45.69360183154933,,4846.0,3432.857143200177,153818.0,1065.079275679102
16001002100,46.802241200000005,Ada,0.0681,0.093,0.1003,0.4946,0.093,6.077731175314223,1.4668188095092756,63.13000000000005,48.09624291263636,,1544.0,2862.235875786082,45504.0,32.98987314308358
16001002201,11.21134082,Ada,0.4157,0.039,0.0573,0.1003,0.003,51.522970939661896,1.4668188095092756,52.910000000000025,43.63865652343025,,8170.0,3010.163814185384,257157.0,728.7263968842577
16001002221,9.155695291,Ada,0.3297,0.025,0.0716,0.1254,0.014,63.87219397788485,1.4668188095092756,52.31,42.42116673717102,,7201.0,2859.907392025597,215742.0,786.5049863639025
16001002222,5.237490767,Ada,0.0,0.0,0.0071,0.1182,0.039,65.0879817367471,0.0,49.690000000000055,41.23327433567437,,4183.0,2810.3985243241577,126516.0,798.6648924244299
16001002302,5.8299327960000005,Ada,0.6379,0.666,0.9462,0.5017,0.362,37.33322583839483,1.4668188095092756,54.83000000000004,45.2345312763949,,6624.0,3431.170941881778,204884.0,1136.205207124312
16001002310,6.605658271999999,Ada,0.7025,0.318,0.4014,0.2831,0.146,45.25642121681378,1.4668188095092756,53.410000000000025,44.18570270434514,,7805.0,3238.4210337830027,243699.0,1181.5627873279122
16001002311,6.5568913360000005,Ada,0.577,0.329,0.3799,0.4229,0.164,51.07894554354002,1.4668188095092756,53.57000000000005,44.887973577885695,,7678.0,3312.122804738055,239680.0,1170.9817360926293
16001002410,4.512898593999999,Ada,0.3189,0.017,0.0788,0.086,0.017,73.61606395351467,1.4668188095092756,51.57000000000005,42.911223267233694,,5793.0,3551.2861664389857,182883.0,1283.6539264812918
16001002411,2.617009619,Ada,0.4265,0.132,0.0824,0.3512,0.053,69.75420831077356,1.4668188095092756,51.57000000000005,43.87375004319208,,4340.0,3525.847810333439,135426.0,1658.3813710468444
16001002412,7.634920693,Ada,0.6845,0.67,0.4623,0.8387,0.465,59.83867527724873,1.4668188095092756,50.29000000000002,39.21194853007645,,2763.0,3291.581409861531,87149.0,361.88981013689227
16001002413,5.010427637,Ada,0.4265,0.139,0.1397,0.2795,0.086,76.2870212021317,1.4668188095092756,51.410000000000025,42.92679280081672,,6910.0,3450.594280657894,216520.0,1379.123799528092
16001010100,243.7789978,Ada,0.0465,0.035,0.2078,0.2258,0.096,13.34401710364197,1.4668188095092756,64.05000000000001,46.479905751366005,,4900.0,2071.6843021480454,138951.0,20.10017287879752
16001010201,213.7047506,Ada,0.2652,0.089,0.1863,0.1684,0.125,20.516136755878964,0.0,66.55000000000001,48.68773286235842,,7833.0,2303.963113481059,267945.0,36.653373301285896
16001010221,23.75399091,Ada,0.0752,0.014,0.086,0.0967,0.186,74.30467900475502,1.4668188095092756,49.410000000000025,38.80276785667647,,5096.0,2850.861415859591,164813.0,214.53237139426017
16001010222,16.670357980000002,Ada,0.3476,0.15,0.1935,0.2939,0.179,58.54332160624852,1.4668188095092756,54.13000000000005,41.72788650566675,,10405.0,2809.9565082214635,328226.0,624.1617614020787
16001010223,6.749109657,Ada,0.4121,0.107,0.0358,0.2114,0.121,69.3426660369574,1.4668188095092756,54.35000000000002,42.41998736471223,,5224.0,3134.5516125594595,154328.0,774.0280222861402
16001010310,63.28586240999999,Ada,0.3261,0.075,0.0286,0.1827,0.175,69.23809819666043,1.4668188095092756,51.870000000000005,37.9576451387843,,21916.0,2945.539947373331,724652.0,346.3016725286339
