FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.341074379,Ada County,0.801,0.5791,0.4579,0.494,0.013,24.898287271815704,1.4893312454223633,51.670000000000016,43.42492059478619,497.1856625131676,4232.0,4123.578301158091,155452.0,974.8738746500984
16001000201,14.22858175,Ada County,0.905,0.0539,0.2189,0.063,0.154,12.815613687697534,1.4893312454223633,59.110000000000014,46.953558964712734,497.2143354705632,3455.0,3151.24549125217,128843.0,242.8211089977397
16001000202,33.88570016,Ada County,0.097,0.0034,0.0135,0.077,0.188,12.423054818506415,1.4893312454223633,59.950000000000045,48.384359962564034,525.6740543340119,5819.0,2889.836193993224,220494.0,171.7243548908272
16001000302,2.04237888,Ada County,0.797,0.4377,0.7306,0.639,0.797,73.1046516278697,1.4893312454223633,51.97000000000003,43.423318824079,525.6199094057083,3528.0,3651.5169321613353,133829.0,1727.3974160954897
16001000303,2.107620908,Ada County,0.222,0.3064,0.2424,0.569,0.235,63.79070316901618,1.4893312454223633,49.97000000000003,42.25901079507609,525.6199094057083,2207.0,3750.6546071345983,84543.0,1047.152261406585
16001000304,4.1511547680000005,Ada County,0.107,0.0808,0.0976,0.424,0.319,63.341587918092216,1.4893312454223633,56.29000000000002,44.33325659138495,525.1584828506459,6932.0,3486.2554617160035,270148.0,1669.8967847300455
16001000400,3.93989783,Ada County,0.831,0.5354,0.697,0.787,0.077,52.64423949277073,1.4893312454223633,51.190000000000055,42.54689279567799,525.6199094057083,6477.0,4004.043258673162,239683.0,1643.9512595178137
16001000500,3.139011785,Ada County,0.178,0.2222,0.1582,0.383,0.215,75.56148901672415,1.4893312454223633,53.23000000000002,43.20676914586435,525.6199094057083,6322.0,3897.7455742813895,231710.0,2014.0096415725943
16001000600,2.103247003,Ada County,0.175,0.1549,0.0774,0.4,0.026,79.31373739827518,1.4893312454223633,51.53000000000003,43.34190268010213,518.975887400515,5928.0,3986.944283841776,210103.0,2818.4992022071124
16001000701,2.874692766,Ada County,0.713,0.1751,0.367,0.562,0.097,64.3461576743426,1.4893312454223633,54.07000000000005,43.71528694284949,481.3901110291482,4965.0,3893.663622100131,181543.0,1727.1410909446731
16001000702,16.45372158,Ada County,0.06,0.0202,0.0067,0.171,0.047,19.98791110437437,1.4893312454223633,60.43000000000001,46.46889828313625,481.5200955216493,3519.0,2963.403515893878,118934.0,213.87258699438863
16001000802,2.802547565,Ada County,0.424,0.1684,0.2694,0.528,0.289,62.94664561424628,1.4893312454223633,52.110000000000014,43.25865842919905,481.3901110291482,5842.0,3494.6824404340305,241142.0,2084.5319711817274
16001000803,2.371725386,Ada County,0.0,0.0774,0.0101,0.289,0.063,56.4091369682857,1.4893312454223633,52.79000000000002,43.43825116987881,481.50797128512033,4649.0,3252.240203675444,203924.0,1960.1763456437527
16001000804,3.125160649,Ada County,0.457,0.0976,0.1886,0.592,0.05,57.16034672125311,1.4893312454223633,50.85000000000002,42.6565634774876,481.3901110291482,5936.0,3790.616238383172,222695.0,1899.422355103384
16001000805,2.8765073190000003,Ada County,0.02,0.0,0.0,0.265,0.067,72.9154392783801,1.4893312454223633,51.49000000000001,42.88558468964261,481.4934209309668,3351.0,3333.4338260142795,147680.0,1164.9544493997512
16001000900,2.639261144,Ada County,0.865,0.7441,0.6162,0.622,0.02,42.882096238996965,1.4893312454223633,51.35000000000002,42.49188770695778,481.3901110291482,6115.0,3784.686046469996,230664.0,2316.9363190533904
16001001000,4.428910189000001,Ada County,0.545,0.5286,0.4848,0.713,0.043,68.66874015075818,1.4893312454223633,52.870000000000005,42.9557789633733,503.0046565996991,6386.0,3825.767885429764,265485.0,1441.889703670394
16001001100,5.4312777,Ada County,0.855,0.9057,0.9125,0.959,0.478,24.65807589704243,1.4893312454223633,51.190000000000055,42.86087318320955,525.6199094057083,4422.0,3884.953830208375,173412.0,814.1730628135623
16001001201,2.143275123,Ada County,0.134,0.2189,0.1549,0.35,0.377,76.64739457258737,1.4893312454223633,51.63000000000005,43.34626517550311,525.6199094057083,3630.0,3849.052342228834,150522.0,1693.669637204108
