,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001000100,0.63,0.8422,0.67,0.1863,0.6272,28.976749419673126,11.466818809509276,41.27000000000004,40.220439778457504,,2624.0
1,Ada,16001000200,0.125,0.3942,0.028,0.0752,0.3799,15.573499603012184,11.466818809509276,47.89000000000004,44.02005824701431,,5785.0
2,Ada,16001000301,0.136,0.3261,0.025,0.0716,0.491,73.3593229490453,11.466818809509276,44.170000000000016,40.02280639431621,,5647.0
3,Ada,16001000302,0.756,0.8637,0.344,0.9032,0.5949,82.10234005566302,11.466818809509276,40.73000000000002,39.616082750280746,,2299.0
4,Ada,16001000400,0.738,0.9247,0.616,0.4121,0.6953,64.61672308703365,11.466818809509276,40.110000000000014,38.838306118787024,,4200.0
5,Ada,16001000500,0.179,0.1362,0.315,0.2688,0.4265,91.88715039819532,11.466818809509276,40.31,39.193449699054185,,3869.0
6,Ada,16001000600,0.143,0.344,0.111,0.0465,0.448,93.23446937414886,11.466818809509276,40.51000000000005,39.31631741404444,,3614.0
7,Ada,16001000700,0.189,0.5304,0.078,0.0573,0.5017,31.193853840855056,11.466818809509276,47.73000000000002,42.86652668608803,,5112.0
8,Ada,16001000801,0.215,0.5806,0.129,0.0609,0.4802,71.81488688651132,11.466818809509276,41.13000000000005,39.85213506571991,,5840.0
9,Ada,16001000802,0.197,0.2473,0.068,0.2974,0.5698,74.93133032810003,11.466818809509276,41.410000000000025,40.28588683762839,,3574.0
10,Ada,16001000803,0.053,0.0465,0.1,0.1326,0.3655,69.89341813710766,11.466818809509276,42.610000000000014,40.699141991669855,,2929.0
11,Ada,16001000900,0.594,0.9318,0.541,0.0537,0.7025,51.53179176837046,11.466818809509276,40.190000000000055,39.45821041359925,,3604.0
12,Ada,16001001000,0.681,0.9426,0.247,0.5448,0.724,77.28670262449404,11.466818809509276,41.81,39.52288374313682,,3959.0
13,Ada,16001001100,0.949,0.9605,0.738,0.81,0.9211,32.45781893573929,11.466818809509276,40.43000000000001,39.499594252173154,,2725.0
14,Ada,16001001201,0.06,0.0609,0.0,0.2329,0.3799,88.18931358005892,11.466818809509276,40.71000000000004,40.13600181623052,,2208.0
15,Ada,16001001202,0.82,0.9175,0.383,0.8243,0.7347,54.98903089257215,11.466818809509276,42.79000000000002,40.878916785440246,,4259.0
16,Ada,16001001400,0.774,0.8243,0.304,0.8781,0.7311,62.40105438766936,11.466818809509276,43.09000000000003,41.22935148982069,,3480.0
17,Ada,16001001500,0.315,0.1899,0.057,0.6881,0.5949,73.90718051474039,11.466818809509276,40.05000000000001,39.35351213371567,,2291.0
18,Ada,16001001600,0.229,0.5232,0.279,0.2365,0.2616,56.45792176207025,11.466818809509276,41.79000000000002,40.41330382158471,,2846.0
19,Ada,16001001700,0.734,0.7526,0.48,0.5878,0.8136,68.60881229025956,11.466818809509276,40.190000000000055,39.45476832641776,,3651.0
20,Ada,16001001800,0.43,0.4444,0.089,0.6272,0.6774,66.60909935266784,11.466818809509276,42.910000000000025,40.952870953566745,,2927.0
21,Ada,16001001900,0.232,0.1254,0.021,0.663,0.4946,60.91974782756859,11.466818809509276,43.07000000000005,42.41043545142588,,3257.0
22,Ada,16001002000,0.946,0.9749,0.831,0.7741,0.8458,24.640778051210408,11.466818809509276,43.09000000000003,42.38086841077707,,3860.0
23,Ada,16001002100,0.093,0.1003,0.093,0.4946,0.0681,6.077731175314223,11.466818809509276,51.21000000000004,46.19363512867432,,1262.0
24,Ada,16001002201,0.039,0.0573,0.003,0.1003,0.4157,51.522970939661896,11.466818809509276,43.05000000000001,41.33943437204922,,6529.0
25,Ada,16001002221,0.025,0.0716,0.014,0.1254,0.3297,63.87219397788485,11.466818809509276,43.09000000000003,40.48411860559864,,5518.0
26,Ada,16001002222,0.0,0.0071,0.039,0.1182,0.0,65.0879817367471,1.0,40.53000000000003,39.2733064709715,,3218.0
27,Ada,16001002302,0.666,0.9462,0.362,0.5017,0.6379,37.33322583839483,11.466818809509276,43.07000000000005,41.91522188135957,,5081.0
28,Ada,16001002310,0.318,0.4014,0.146,0.2831,0.7025,45.25642121681378,11.466818809509276,41.75000000000006,41.16177165565761,,6168.0
29,Ada,16001002311,0.329,0.3799,0.164,0.4229,0.577,51.07894554354002,11.466818809509276,43.07000000000005,41.5937420507131,,6105.0
30,Ada,16001002410,0.017,0.0788,0.017,0.086,0.3189,73.61606395351467,11.466818809509276,40.99000000000001,39.68741340406159,,4619.0
31,Ada,16001002411,0.132,0.0824,0.053,0.3512,0.4265,69.75420831077356,11.466818809509276,40.99000000000001,40.47033114820571,,3448.0
32,Ada,16001002412,0.67,0.4623,0.465,0.8387,0.6845,59.83867527724873,11.466818809509276,39.73000000000002,36.30800417439706,,2197.0
33,Ada,16001002413,0.139,0.1397,0.086,0.2795,0.4265,76.2870212021317,11.466818809509276,41.31,39.772584676560406,,5568.0
34,Ada,16001010100,0.035,0.2078,0.096,0.2258,0.0465,13.34401710364197,11.466818809509276,49.190000000000055,43.35932242761166,,3767.0
35,Ada,16001010201,0.089,0.1863,0.125,0.1684,0.2652,20.516136755878964,1.0,52.150000000000034,45.726498544090376,,6196.0
36,Ada,16001010221,0.014,0.086,0.186,0.0967,0.0752,74.30467900475502,11.466818809509276,40.75000000000006,37.0407827216145,,4051.0
37,Ada,16001010222,0.15,0.1935,0.179,0.2939,0.3476,58.54332160624852,11.466818809509276,42.150000000000034,38.97507304823417,,8177.0
38,Ada,16001010223,0.107,0.0358,0.121,0.2114,0.4121,69.3426660369574,11.466818809509276,44.170000000000016,38.860820687844544,,4093.0
