FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.326350159,Ada,0.5387,0.771,0.8653,0.2997,0.8552,28.47305788754563,1.5264148712158203,51.29000000000002,42.25431970720226,238.29454299305,4307.0,3169.438156610116,107055.0,995.52737104283
16001000201,14.24455556,Ada,0.0202,0.1684,0.8047,0.1448,0.064,16.480755290329597,1.5264148712158203,58.79000000000002,44.906056895724056,238.2790841909396,3575.0,2495.269210912239,91659.0,250.9730812549128
16001000202,33.76655167,Ada,0.1347,0.0034,0.0505,0.0539,0.0034,15.73520012625612,1.5264148712158203,58.77000000000004,46.13204792326248,239.6467888750294,5990.0,2307.2374801928254,157408.0,177.39448370506352
16001000302,2.089301575,Ada,0.6296,0.5791,0.7879,0.1717,0.4074,79.70337678333162,1.5264148712158203,50.57000000000005,41.87956476837867,239.72336637973785,3720.0,2837.516740006505,98920.0,1780.4993039360534
16001000303,2.153634573,Ada,0.3131,0.2828,0.569,0.3064,0.2458,69.29685878466933,1.5264148712158203,49.01000000000005,41.02562908404446,239.72336637973785,2269.0,2901.5836350085856,60179.0,1053.567781854141
16001000304,4.093523872,Ada,0.8418,0.2256,0.2054,0.1886,0.1515,71.18088182203061,1.5264148712158203,54.950000000000045,42.56800156615278,239.84705711372385,6981.0,2713.3487700019373,191990.0,1705.3766432756254
16001000400,3.945852113,Ada,0.5253,0.6465,0.8316,0.0707,0.7576,59.24975217349664,1.5264148712158203,51.03000000000003,41.19259189224368,239.72336637973785,6649.0,3080.364728786886,170997.0,1685.0606179826689
16001000500,3.0992903160000003,Ada,0.4512,0.0976,0.1178,0.202,0.1212,86.06571627976342,1.5264148712158203,52.39000000000004,41.55029962300808,239.72336637973785,6447.0,3009.485342761552,166342.0,2080.153629596279
16001000600,2.072902027,Ada,0.367,0.0471,0.1313,0.1145,0.0606,88.84214131538228,1.5264148712158203,51.29000000000002,41.77632913570494,239.38950369441463,6004.0,3069.0996783033024,146037.0,2896.4224656045453
16001000701,2.852417612,Ada,0.2694,0.138,0.596,0.1246,0.0337,72.74919599745589,1.5264148712158203,52.79000000000002,42.27104697105021,237.50081515312203,5090.0,3015.9760246563983,131067.0,1784.451189260151
16001000702,16.523460019999998,Ada,0.4242,0.0236,0.0539,0.0404,0.0168,23.465533814234767,1.5264148712158203,58.79000000000002,44.51948197721033,237.47643970491575,3608.0,2366.1376459668404,90626.0,218.3562035816273
16001000802,2.8030508160000003,Ada,0.5017,0.2458,0.3704,0.3603,0.1448,65.19448662006825,1.5264148712158203,50.410000000000025,42.289002320386,237.50081515312203,5975.0,2751.70959358291,154078.0,2131.606022229173
16001000803,2.375226247,Ada,0.468,0.0673,0.1111,0.0236,0.1684,56.10363024439492,1.5264148712158203,51.35000000000002,42.21259963863825,237.47915283951616,4775.0,2584.2633998090314,126320.0,2010.334807486657
16001000804,3.121335389,Ada,0.5926,0.2424,0.5253,0.0505,0.2694,60.27600040937453,1.5264148712158203,50.57000000000005,41.655297073338375,237.50081515312203,6095.0,2950.429132787784,159443.0,1952.6898716105895
16001000805,2.878843485,Ada,0.1549,0.0,0.0101,0.0269,0.0,75.12939425372284,1.5264148712158203,49.89000000000004,41.52606394260302,237.48182714504992,3424.0,2639.8469299595245,93953.0,1189.36650006869
16001000900,2.654953144,Ada,0.7205,0.6263,0.8923,0.0101,0.7475,42.4364858843084,1.5264148712158203,50.57000000000005,41.4454463122027,237.50081515312203,6301.0,2948.063159753354,165128.0,2373.2998882634897
16001001000,4.42368222,Ada,0.6633,0.303,0.5219,0.0438,0.3266,73.68580927537663,1.5264148712158203,52.13000000000005,41.99712119810436,238.5869479534928,6540.0,2971.453028938381,177325.0,1478.4063761252723
16001001100,5.417533513,Ada,0.8215,0.9899,0.9125,0.9663,0.9865,27.223768207750293,1.5264148712158203,51.150000000000034,41.73022745882582,239.72336637973785,4527.0,2999.4277023686927,121580.0,835.6201192178946
16001001201,2.129897469,Ada,0.5152,0.1751,0.0842,0.2391,0.2727,83.47177802800549,1.5264148712158203,50.79000000000002,42.27908070076466,239.72336637973785,3711.0,2975.109723729009,104094.0,1742.3373913591895
16001001202,3.323578881,Ada,0.5892,0.7609,0.9495,0.5556,0.5791,51.85437919044049,1.5264148712158203,52.690000000000055,43.34234784197165,238.80512285120204,7010.0,2952.3457800425585,181513.0,2109.1721457475464
16001001400,2.645826986,Ada,0.7071,0.7542,0.7138,0.5758,0.7037,56.43753096243568,1.5264148712158203,52.670000000000016,43.526035903167134,237.9274993740072,5863.0,2773.77356373452,154135.0,2215.9423239022026
16001001500,2.547395589,Ada,0.3434,0.1212,0.1515,0.0303,0.3502,63.95691413220875,1.5264148712158203,51.03000000000003,41.77974674871299,237.50081515312203,3826.0,2814.500818305228,99176.0,1501.9261305629905
16001001600,3.127048834,Ada,0.4141,0.3737,0.3468,0.2492,0.4815,42.248853230696994,1.5264148712158203,51.43000000000001,42.45167091550516,237.50081515312203,4616.0,2673.280812669169,122276.0,1476.152194942025
16001001700,2.070219443,Ada,0.7609,0.5354,0.3333,0.1077,0.7273,53.14509199727425,1.5264148712158203,50.57000000000005,41.87265206141776,237.50081515312203,6323.0,2738.9384905419706,164894.0,3054.265585892287
