FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.290472208,Ada,0.6272,0.63,0.8422,0.1863,0.67,25.92064927541749,1.5011425018310565,52.09000000000003,42.79650437353215,,3422.0,3663.791494142301,74470.0,797.5812064740451
16001000200,48.34291995,Ada,0.3799,0.125,0.3942,0.0752,0.028,14.73930520990396,1.5011425018310565,58.610000000000014,45.03678826463959,,7649.0,2673.669630553696,179562.0,158.22378970718336
16001000301,6.183234462000001,Ada,0.491,0.136,0.3261,0.0716,0.025,65.02931262089751,1.5011425018310565,54.110000000000014,42.05597597772049,,7409.0,3170.186932335854,166600.0,1198.240184087006
16001000302,2.057457956,Ada,0.5949,0.756,0.8637,0.9032,0.344,78.5284165569577,1.5011425018310565,53.63000000000005,42.08329350074714,,2905.0,3248.224940271348,65124.0,1411.9365071487275
16001000400,3.959828478,Ada,0.6953,0.738,0.9247,0.4121,0.616,57.183229575322095,1.5011425018310565,51.21000000000004,41.32393489259369,,5306.0,3546.7085130767964,115038.0,1339.957028310457
16001000500,3.094456921,Ada,0.4265,0.179,0.1362,0.2688,0.315,88.82000391139798,1.5011425018310565,52.63000000000005,41.999401703887976,,5129.0,3465.2375040185498,110693.0,1657.479852181145
16001000600,2.065208159,Ada,0.448,0.143,0.344,0.0465,0.111,90.66288494911878,1.5011425018310565,51.85000000000002,42.36087047225642,,4767.0,3543.4688558917683,105361.0,2308.241897663353
16001000700,19.38290978,Ada,0.5017,0.189,0.5304,0.0573,0.078,30.536233269283343,1.5011425018310565,58.610000000000014,43.43211436091555,,6929.0,2803.919863431205,159211.0,357.4798664723496
16001000801,5.886933795,Ada,0.4802,0.215,0.5806,0.0609,0.129,69.85544849001107,1.5011425018310565,51.150000000000034,41.48831044405629,,7541.0,3218.1767747177296,180571.0,1280.9724489181217
16001000802,2.818506758,Ada,0.5698,0.197,0.2473,0.2974,0.068,69.66881675966205,1.5011425018310565,50.950000000000045,42.02915733624895,,4783.0,3145.2892979225726,107668.0,1696.9978824510592
16001000803,2.333674704,Ada,0.3655,0.053,0.0465,0.1326,0.1,67.96056712158828,1.5011425018310565,51.910000000000025,42.33076097283824,,3774.0,2942.184003109475,92152.0,1617.1919734705236
16001000900,2.6541073390000003,Ada,0.7025,0.594,0.9318,0.0537,0.541,47.373225298612006,1.5011425018310565,50.35000000000002,41.4497048828347,,5008.0,3384.128193410977,115120.0,1886.8867609125732
16001001000,4.463609222,Ada,0.724,0.681,0.9426,0.5448,0.247,72.43651673046277,1.5011425018310565,52.09000000000003,41.84260694273936,,5230.0,3404.6329971397954,124143.0,1171.6975523355975
16001001100,5.532476161999999,Ada,0.9211,0.949,0.9605,0.81,0.738,23.54667102369968,1.5011425018310565,50.43000000000001,41.48760218516456,,3607.0,3434.5075960650333,82028.0,651.9684666288854
16001001201,2.146885194,Ada,0.3799,0.06,0.0609,0.2329,0.0,73.98496616256483,1.5011425018310565,50.33000000000004,42.00344884464055,,2976.0,3401.505526598712,70294.0,1386.1942913003293
16001001202,3.238438061,Ada,0.7347,0.82,0.9175,0.8243,0.383,40.667817877317965,1.5011425018310565,52.63000000000005,43.12329931122557,,5561.0,3378.1824325988173,125648.0,1717.1858455377758
16001001400,2.640226085,Ada,0.7311,0.774,0.8243,0.8781,0.304,51.25789145690517,1.5011425018310565,52.31,42.89520637370431,,4671.0,3163.6988133237437,106979.0,1769.166673466905
16001001500,2.559051632,Ada,0.5949,0.315,0.1899,0.6881,0.057,67.56142583451036,1.5011425018310565,50.33000000000004,41.3531885118032,,3057.0,3212.930272509034,69264.0,1194.5831657999154
16001001600,3.163079692,Ada,0.2616,0.229,0.5232,0.2365,0.279,49.31179224892625,1.5011425018310565,51.55000000000001,42.16974167485117,,3710.0,3044.579176488494,85360.0,1172.907533560808
16001001700,2.042765568,Ada,0.8136,0.734,0.7526,0.5878,0.48,59.841942337481655,1.5011425018310565,50.150000000000034,41.26474412871658,,4991.0,3123.2302558711344,111343.0,2443.256376641649
16001001800,3.620813063,Ada,0.6774,0.43,0.4444,0.6272,0.089,57.57128983719311,1.5011425018310565,52.610000000000014,42.58054786447532,,3974.0,2987.283733651526,86345.0,1097.5435436336415
16001001900,2.999285145,Ada,0.4946,0.232,0.1254,0.663,0.021,42.28999829613221,1.5011425018310565,52.410000000000025,43.823507791353286,,4467.0,3044.876887549299,99044.0,1489.354890930185
16001002000,4.54989606,Ada,0.8458,0.946,0.9749,0.7741,0.831,19.01273352375027,1.5011425018310565,53.150000000000034,44.13301411941815,,5107.0,3236.6036501061903,117432.0,1122.443223461241
16001002100,46.802241200000005,Ada,0.0681,0.093,0.1003,0.4946,0.093,4.636313735783807,1.5011425018310565,61.99000000000001,46.649886821049954,,1629.0,2683.096141776537,36780.0,34.80602548580515
16001002201,11.21134082,Ada,0.4157,0.039,0.0573,0.1003,0.003,42.69706551031216,1.5011425018310565,52.07000000000005,42.23359580195471,,8603.0,2827.37733137067,199506.0,767.3480039651492
16001002221,9.155695291,Ada,0.3297,0.025,0.0716,0.1254,0.014,62.56922328397857,1.5011425018310565,50.01000000000005,41.153522477208845,,7588.0,2682.635676306996,174486.0,828.7737587181352
16001002222,5.237490767,Ada,0.0,0.0,0.0071,0.1182,0.039,48.4377517373232,0.0,48.71000000000004,40.52178032406867,,4403.0,2631.94360119014,102235.0,840.6697397429513
