FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.325363167000001,Ada,0.697,0.8209,0.8788,0.2357,0.8345,28.182532796997872,1.4899654388427717,50.190000000000055,42.85455804687616,226.16077946283377,4502.0,2958.6414174156857,108449.0,1040.8374571521845
16001000201,14.24785944,Ada,0.0505,0.0405,0.2795,0.0741,0.0709,18.368578663224035,1.4899654388427717,59.190000000000055,45.77310512137387,226.17622025595955,3710.0,2276.552253832793,88538.0,260.38999160704805
16001000202,33.74620271,Ada,0.3872,0.0169,0.064,0.1111,0.0068,16.335136377101904,1.4899654388427717,58.51000000000005,46.69710282779117,228.5313857758581,6258.0,2088.175295511296,157542.0,185.443086849756
16001000302,2.089785544,Ada,0.6296,0.4358,0.7273,0.1515,0.2669,80.68346475163285,1.4899654388427717,50.49000000000001,42.93924156987195,228.35759979486485,3892.0,2619.8973288053994,111745.0,1862.3920579670728
16001000303,2.042110892,Ada,0.2323,0.3007,0.5623,0.5084,0.1959,67.46612305133287,1.4899654388427717,48.25000000000006,42.00150451623681,228.35759979486485,2366.0,2681.375255665609,65088.0,1158.6050538532654
16001000304,4.100172308,Ada,0.6094,0.1554,0.0976,0.1987,0.2568,71.97309207671722,1.4899654388427717,53.170000000000016,43.63576990440088,227.42372744925603,7305.0,2490.9239405170392,199245.0,1781.6324415798183
16001000400,3.87554219,Ada,0.6397,0.5777,0.798,0.1582,0.4155,61.26585097187668,1.4899654388427717,49.610000000000014,42.06181740324981,228.35759979486485,6930.0,2870.863892080298,188827.0,1788.1369006590533
16001000500,3.100690228,Ada,0.2155,0.1993,0.3367,0.2424,0.2534,86.65098076679175,1.4899654388427717,51.83000000000004,42.5002831672086,228.35759979486485,6741.0,2802.6833613082263,188923.0,2174.032071674591
16001000600,2.081942804,Ada,0.3805,0.0236,0.1448,0.037,0.0203,90.1949454763596,1.4899654388427717,50.170000000000016,42.581579380955546,227.84428489390632,6315.0,2865.4293207039477,147964.0,3033.2245380935065
16001000701,2.852417586,Ada,0.0875,0.098,0.6801,0.0943,0.0169,72.92200055541124,1.4899654388427717,52.99000000000001,42.98855663672168,224.94042047858227,5325.0,2800.292813722491,132299.0,1866.837459611708
16001000702,16.520812720000002,Ada,0.4545,0.0135,0.0438,0.0673,0.0034,24.11575348853681,1.4899654388427717,65.27000000000004,46.42194892684661,224.88516319369865,3774.0,2136.323836726045,76729.0,228.43912487617612
16001000802,2.804452323,Ada,0.5623,0.1149,0.1919,0.165,0.0777,78.76497390077459,1.4899654388427717,50.73000000000002,43.41898076147514,224.94042047858227,6250.0,2512.160521904505,161208.0,2228.599127445391
16001000803,2.378081309,Ada,0.5185,0.0439,0.1246,0.0303,0.0676,77.53727733043789,1.4899654388427717,52.27000000000004,43.25978811741051,224.8852178731101,4998.0,2338.6258286430902,133234.0,2101.694328568477
16001000804,3.119933892,Ada,0.4848,0.277,0.5084,0.0202,0.4122,66.07293955942676,1.4899654388427717,49.99000000000001,42.67963036989146,224.94042047858227,6370.0,2721.184061030903,161037.0,2041.7099273589351
