,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001000100,0.63,0.8422,0.67,0.1863,0.6272,21.278987317053385,1.2410316467285156,42.870000000000005,41.444458130114896,231.01914063421737,2624.0
1,Ada,16001000200,0.125,0.3942,0.028,0.0752,0.3799,12.216562433948637,1.2410316467285156,45.690000000000055,41.451775873705245,0.0,5785.0
2,Ada,16001000301,0.136,0.3261,0.025,0.0716,0.491,50.58724312757117,1.2410316467285156,45.03000000000003,41.39884661662752,0.0,5647.0
3,Ada,16001000302,0.756,0.8637,0.344,0.9032,0.5949,72.85490761501427,1.2410316467285156,41.35000000000002,40.07934266217502,226.71669781208038,2299.0
4,Ada,16001000400,0.738,0.9247,0.616,0.4121,0.6953,52.731620708091285,1.2410316467285156,40.870000000000005,39.74844069621393,226.71669781208038,4200.0
5,Ada,16001000500,0.179,0.1362,0.315,0.2688,0.4265,79.32628236496002,1.2410316467285156,41.650000000000034,36.344393809114365,226.71669781208038,3869.0
6,Ada,16001000600,0.143,0.344,0.111,0.0465,0.448,77.16027316435991,1.2410316467285156,42.35000000000002,41.14712080939727,227.72201808289316,3614.0
7,Ada,16001000700,0.189,0.5304,0.078,0.0573,0.5017,24.088685569643587,1.2410316467285156,46.01000000000005,43.45245900437901,0.0,5112.0
8,Ada,16001000801,0.215,0.5806,0.129,0.0609,0.4802,53.346644888857575,1.2410316467285156,44.59000000000003,41.51253693911463,0.0,5840.0
9,Ada,16001000802,0.197,0.2473,0.068,0.2974,0.5698,52.00957974795579,1.2410316467285156,41.81,41.17197215046313,233.40919715166086,3574.0
10,Ada,16001000803,0.053,0.0465,0.1,0.1326,0.3655,45.50572140557427,1.2410316467285156,42.410000000000025,41.78527451722839,233.40979548857945,2929.0
11,Ada,16001000900,0.594,0.9318,0.541,0.0537,0.7025,31.99869048822641,1.2410316467285156,41.75000000000006,40.33228483469416,233.40919715166086,3604.0
12,Ada,16001001000,0.681,0.9426,0.247,0.5448,0.724,56.30900761890805,1.2410316467285156,40.99000000000001,40.159385692687216,230.13865698946788,3959.0
13,Ada,16001001100,0.949,0.9605,0.738,0.81,0.9211,21.379647117250347,1.2410316467285156,41.25000000000006,39.91796163838734,226.71669781208038,2725.0
14,Ada,16001001201,0.06,0.0609,0.0,0.2329,0.3799,75.2789848650488,1.2410316467285156,40.55000000000001,40.02020226203255,226.71669781208035,2208.0
15,Ada,16001001202,0.82,0.9175,0.383,0.8243,0.7347,36.39093094234925,1.2410316467285156,42.23000000000002,40.87818440960421,227.11719019756723,4259.0
