,COUNTY,FIPS,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioencomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada County,16001002221,0.484,0.0943,0.077,0.228,0.1313,73.46655795730277,1.5642442703247088,41.690000000000055,39.09411932585135,232.51835608871295,5538.0
1,Ada County,16001002310,0.713,0.4815,0.538,0.552,0.2121,42.199986102425314,1.5642442703247088,42.35000000000002,41.26011673990999,232.1130205392839,6169.0
2,Ada County,16001002411,0.606,0.4444,0.481,0.4,0.3367,73.55549207479665,1.5642442703247088,40.690000000000055,40.43101375618351,230.6587311694754,3454.0
3,Ada County,16001010221,0.205,0.0741,0.232,0.299,0.0067,86.40167222648941,1.5642442703247088,38.81,36.073792959427166,243.8022041512636,4055.0
4,Ada County,16001010223,0.289,0.2828,0.407,0.744,0.1852,65.15566597948843,1.5642442703247088,43.51000000000005,38.95777806856845,238.87074212853997,4128.0
5,Ada County,16001010225,0.451,0.3165,0.329,0.693,0.1987,66.38910274303704,1.5642442703247088,41.71000000000004,37.99990869073828,,5318.0
6,Ada County,16001010313,0.393,0.1414,0.158,0.367,0.0875,66.18690024236885,1.5642442703247088,42.150000000000034,37.77692144536751,229.52888512926478,13010.0
7,Ada County,16001010321,0.595,0.5657,0.811,0.912,0.1347,33.137988078514226,1.5642442703247088,42.31,41.69451567540736,232.14074486055534,4763.0
8,Ada County,16001010331,0.447,0.101,0.131,0.434,0.0337,72.91069589375824,1.5642442703247088,42.110000000000014,38.58227628386665,240.5299416675216,13059.0
9,Ada County,16001010332,0.538,0.1246,0.037,0.771,0.1212,66.71657588522199,1.5642442703247088,41.85000000000002,40.78307119356611,243.06400370778496,7570.0
10,Ada County,16001010333,0.582,0.4343,0.552,0.686,0.1785,59.93333638038095,1.5642442703247088,42.31,41.16577999953605,238.76939053239144,7201.0
11,Ada County,16001010334,0.414,0.1178,0.04,0.801,0.1246,75.37217824049479,1.5642442703247088,41.55000000000001,38.88072793363786,,4053.0
12,Ada County,16001010335,0.373,0.1313,0.121,0.471,0.138,84.06380850946059,1.5642442703247088,41.33000000000004,36.20266752600183,,12961.0
13,Ada County,16001010504,0.643,0.0808,0.043,0.272,0.0572,36.0040251870849,1.5642442703247088,44.09000000000003,40.604184233056486,,4054.0
14,Ada County,16001010401,0.525,0.3502,0.181,0.676,0.3636,76.71792444110024,0.0,39.43000000000001,35.52670936227821,237.01721339162088,12366.0
15,Ada County,16001010503,0.781,0.4512,0.683,0.336,0.101,0.9606102756709752,1.5642442703247088,53.09000000000003,49.10832085953234,,2714.0
16,Adams County,16003950200,0.026,0.3367,0.531,0.151,0.633,59.467319060389535,0.0,50.110000000000014,37.17311396122534,260.54492689384085,1716.0
17,Ada County,16001000100,0.494,0.4579,0.801,0.013,0.5791,28.491862393300188,1.5642442703247088,41.150000000000034,40.10425780611411,231.01914063421737,2642.0
18,Ada County,16001000302,0.639,0.7306,0.797,0.797,0.4377,85.48953583713302,1.5642442703247088,41.55000000000001,39.81273638344231,226.71669781208038,2269.0
19,Ada County,16001000303,0.569,0.2424,0.222,0.235,0.3064,72.77893219117084,1.5642442703247088,39.49000000000001,39.01419058843337,,1385.0
20,Ada County,16001000802,0.528,0.2694,0.424,0.289,0.1684,78.04154113203275,1.5642442703247088,40.690000000000055,39.95264886413977,233.40919715166086,3563.0
21,Ada County,16001000900,0.622,0.6162,0.865,0.02,0.7441,49.02172092298189,1.5642442703247088,39.950000000000045,39.29320952765446,233.40919715166086,3595.0
22,Ada County,16001001400,0.686,0.7778,0.784,0.42,0.6296,61.0236262257184,1.5642442703247088,42.63000000000005,40.76357610088343,231.71014925701857,3480.0
23,Ada County,16001001700,0.727,0.8081,0.67,0.346,0.8653,62.63825598507326,1.5642442703247088,39.93000000000001,39.484456466610325,233.40919715166086,3706.0
24,Ada County,16001010224,0.377,0.064,0.124,0.393,0.0236,87.0485703271914,1.5642442703247088,41.870000000000005,38.1485960883094,,2858.0
25,Ada County,16001010322,0.569,0.8114,0.754,0.835,0.7071,40.0832509391823,1.5642442703247088,42.01000000000005,41.09117778980748,231.47306991646755,4569.0
26,Ada County,16001010402,0.548,0.1616,0.063,0.737,0.1886,66.32154066389923,0.0,42.01000000000005,38.77524338776893,234.63651362815145,7109.0
27,Bannock County,16005000400,0.404,0.0673,0.023,0.538,0.1448,65.63504163158773,1.3044404983520508,40.33000000000004,38.72481687609104,123.09535223245615,4300.0
28,Bannock County,16005000900,0.501,0.5253,0.643,0.323,0.4646,34.04262727250117,1.3044404983520508,41.47000000000003,41.36634086956525,102.19291859865194,1718.0
29,Bannock County,16005001300,0.569,0.6465,0.636,0.565,0.5892,38.44282189677738,1.3044404983520508,41.370000000000005,40.85743554200168,102.19291859865194,2232.0
30,Shoshone County,16079960200,0.131,0.4276,0.414,0.309,0.7138,99.34470534951068,0.0,32.63000000000005,23.40037052744437,261.766302419153,3886.0
31,Bannock County,16005001900,0.387,0.3098,0.451,0.38,0.2963,52.43721675594634,0.0,54.35000000000002,39.932286718472085,113.96884982447799,4016.0
32,Twin Falls County,16083000200,0.363,0.3872,0.471,0.855,0.2424,55.46670909347333,0.9429302215576154,39.410000000000025,38.77012962443949,,4464.0
33,Ada County,16001001900,0.649,0.5286,0.188,0.774,0.5758,58.94211537319042,1.5642442703247088,43.01000000000005,41.59317573483432,232.32370280631022,3233.0
