,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001010224,0.2593,0.0,0.0,0.0707,0.0,95.38356505063652,,39.73000000000002,37.17084173088326,,2865.0
1,Ada,16001000805,0.2492,0.0034,0.0202,0.0539,0.0067,84.98463871150732,,39.75000000000006,37.98682376043206,,2051.0
2,Ada,16001000702,0.1279,0.0067,0.0539,0.0505,0.0202,34.341948297224604,,40.150000000000034,38.97439207929306,,2111.0
3,Ada,16001010100,0.1481,0.0101,0.0774,0.1279,0.0034,39.83247959498083,,54.150000000000034,38.81296137298349,243.96940484879337,3753.0
4,Ada,16001010201,0.1515,0.0135,0.0337,0.0976,0.0505,44.52210048887157,,43.610000000000014,41.00092763595571,248.66916885179143,6187.0
5,Kootenai,16055002000,0.0741,0.0168,0.0673,0.0606,0.1313,89.46777507806277,,38.49000000000001,23.70195338434312,284.3209905728701,2189.0
6,Kootenai,16055001100,0.1818,0.0202,0.0101,0.3603,0.0606,88.85028147734816,,39.59000000000003,31.41416691309354,300.6086012091339,1401.0
7,Ada,16001010335,0.3838,0.0236,0.0606,0.1044,0.0168,82.32246127246388,,40.09000000000003,36.4106284696167,,12963.0
8,Ada,16001000803,0.4175,0.0269,0.037,0.0438,0.0774,81.67148647050605,,38.650000000000034,37.828732753449344,233.40979548857945,2965.0
9,Ada,16001000202,0.2862,0.0303,0.0303,0.1448,0.0438,37.51318302279314,,41.150000000000034,39.84407516379384,,3655.0
10,Ada,16001002100,0.0505,0.0337,0.0404,0.1987,0.165,7.984314912432993,,42.49000000000001,39.958325186029015,233.42823374963308,1271.0
11,Ada,16001000600,0.5825,0.037,0.1886,0.0269,0.0101,94.70922446920002,,37.690000000000055,37.17667397722481,227.72201808289316,3686.0
12,Ada,16001002223,0.3939,0.0404,0.0168,0.3131,0.0539,76.84506782139788,,38.79000000000002,38.36573711130224,,2830.0
