,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0, Ada,16001000100,0.5387,0.771,0.8653,0.2997,0.8552,27.925583109056795,1.4884748458862305,44.89000000000004,42.25477599704881,231.01914063421737,2628.0
1, Ada,16001000201,0.0202,0.1684,0.8047,0.1448,0.064,17.759402893766314,1.4884748458862305,49.83000000000004,42.20253768906831,,2099.0
2, Ada,16001000202,0.1347,0.0034,0.0505,0.0539,0.0034,15.834661602715212,1.4884748458862305,53.89000000000004,49.19192682657923,,3663.0
3, Ada,16001000302,0.6296,0.5791,0.7879,0.1717,0.4074,78.04394363719005,1.4884748458862305,45.21000000000004,44.00395946866488,226.71669781208038,2337.0
4, Ada,16001000303,0.3131,0.2828,0.569,0.3064,0.2458,66.84556037217797,1.4884748458862305,44.910000000000025,43.491934580209296,,1397.0
5, Ada,16001000304,0.8418,0.2256,0.2054,0.1886,0.1515,66.0391958313822,1.4884748458862305,49.49000000000001,44.94505741647532,,4220.0
6, Ada,16001000400,0.5253,0.6465,0.8316,0.0707,0.7576,58.442666017874544,1.4884748458862305,44.910000000000025,43.198157599173385,226.71669781208038,4197.0
7, Ada,16001000500,0.4512,0.0976,0.1178,0.202,0.1212,85.9632946636113,1.4884748458862305,46.03000000000003,42.54315430861726,226.71669781208038,3869.0
8, Ada,16001000600,0.367,0.0471,0.1313,0.1145,0.0606,88.44100196134474,1.4884748458862305,43.01000000000005,40.78029099623421,227.72201808289316,3624.0
9, Ada,16001000701,0.2694,0.138,0.596,0.1246,0.0337,72.06612976914602,1.4884748458862305,43.27000000000004,39.53464128206723,,3021.0
10, Ada,16001000702,0.4242,0.0236,0.0539,0.0404,0.0168,23.75221595288136,1.4884748458862305,49.07000000000005,40.49710891408311,,2111.0
11, Ada,16001000802,0.5017,0.2458,0.3704,0.3603,0.1448,70.0253053743143,1.4884748458862305,44.13000000000005,42.296680584551176,233.40919715166086,3558.0
