,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001000100,0.63,0.8422,0.67,0.1863,0.6272,26.34668863940669,11.47670841217041,43.73000000000002,42.96831445813012,,2624.0
1,Ada,16001000200,0.125,0.3942,0.028,0.0752,0.3799,16.628462171794663,11.47670841217041,51.75000000000006,47.58309156665388,,5785.0
2,Ada,16001000301,0.136,0.3261,0.025,0.0716,0.491,72.3287785458529,11.47670841217041,47.49000000000001,42.28335701598579,,5647.0
3,Ada,16001000302,0.756,0.8637,0.344,0.9032,0.5949,80.00101746945401,11.47670841217041,43.690000000000055,42.542557657424254,,2299.0
4,Ada,16001000400,0.738,0.9247,0.616,0.4121,0.6953,62.7671368399737,11.47670841217041,43.31,41.3936757581195,,4200.0
5,Ada,16001000500,0.179,0.1362,0.315,0.2688,0.4265,89.15222516448107,11.47670841217041,43.690000000000055,41.92957122384635,,3869.0
6,Ada,16001000600,0.143,0.344,0.111,0.0465,0.448,89.9979095826464,11.47670841217041,44.01000000000005,42.34426391151506,,3614.0
7,Ada,16001000700,0.189,0.5304,0.078,0.0573,0.5017,34.45448223355269,11.47670841217041,52.23000000000002,46.1631427838546,,5112.0
8,Ada,16001000801,0.215,0.5806,0.129,0.0609,0.4802,71.59241979418748,11.47670841217041,42.85000000000002,42.1766306088534,,5840.0
9,Ada,16001000802,0.197,0.2473,0.068,0.2974,0.5698,75.34992287414202,11.47670841217041,44.01000000000005,43.15754079768132,,3574.0
10,Ada,16001000803,0.053,0.0465,0.1,0.1326,0.3655,73.55693680701508,11.47670841217041,44.93000000000001,43.20866414237031,,2929.0
11,Ada,16001000900,0.594,0.9318,0.541,0.0537,0.7025,49.24900462662061,11.47670841217041,43.47000000000003,41.95113237853033,,3604.0
12,Ada,16001001000,0.681,0.9426,0.247,0.5448,0.724,77.13835369315576,11.47670841217041,44.21000000000004,42.08526219463677,,3959.0
13,Ada,16001001100,0.949,0.9605,0.738,0.81,0.9211,29.069948841786164,11.47670841217041,43.31,42.32360169355617,,2725.0
14,Ada,16001001201,0.06,0.0609,0.0,0.2329,0.3799,83.24948818574488,11.47670841217041,43.410000000000025,42.72244283001735,,2208.0
15,Ada,16001001202,0.82,0.9175,0.383,0.8243,0.7347,51.67818271748295,11.47670841217041,45.85000000000002,43.76359609691925,,4259.0
16,Ada,16001001400,0.774,0.8243,0.304,0.8781,0.7311,62.02975432457642,11.47670841217041,46.370000000000005,44.19548604557104,,3480.0
17,Ada,16001001500,0.315,0.1899,0.057,0.6881,0.5949,73.27569157129071,11.47670841217041,42.950000000000045,42.01083921952587,,2291.0
18,Ada,16001001600,0.229,0.5232,0.279,0.2365,0.2616,55.20924990001076,11.47670841217041,45.150000000000034,43.60876050655612,,2846.0
19,Ada,16001001700,0.734,0.7526,0.48,0.5878,0.8136,64.96605363850443,11.47670841217041,43.47000000000003,42.1951296680498,,3651.0
20,Ada,16001001800,0.43,0.4444,0.089,0.6272,0.6774,65.13142850690119,11.47670841217041,47.93000000000001,44.072785996777526,,2927.0
21,Ada,16001001900,0.232,0.1254,0.021,0.663,0.4946,50.986454251150114,11.47670841217041,45.71000000000004,45.149011951248376,,3257.0
22,Ada,16001002000,0.946,0.9749,0.831,0.7741,0.8458,22.8721582070408,11.47670841217041,46.79000000000002,45.33110737992972,,3860.0
23,Ada,16001002100,0.093,0.1003,0.093,0.4946,0.0681,6.239654732096418,11.47670841217041,56.49000000000001,49.67280183961089,,1262.0
24,Ada,16001002201,0.039,0.0573,0.003,0.1003,0.4157,53.13761404297611,11.47670841217041,45.93000000000001,43.69692288322316,,6529.0
25,Ada,16001002221,0.025,0.0716,0.014,0.1254,0.3297,68.24057085290455,11.47670841217041,44.93000000000001,42.63521988787388,,5518.0
26,Ada,16001002222,0.0,0.0071,0.039,0.1182,0.0,69.68338096712048,1.0,43.03000000000003,41.80621960838103,,3218.0
27,Ada,16001002302,0.666,0.9462,0.362,0.5017,0.6379,34.24057016717511,11.47670841217041,46.79000000000002,44.87349239133735,,5081.0
28,Ada,16001002310,0.318,0.4014,0.146,0.2831,0.7025,40.70074887923435,11.47670841217041,45.51000000000005,44.2228854519092,,6168.0
29,Ada,16001002311,0.329,0.3799,0.164,0.4229,0.577,46.88634899164661,11.47670841217041,45.85000000000002,44.559909885530296,,6105.0
30,Ada,16001002410,0.017,0.0788,0.017,0.086,0.3189,71.25338842301998,11.47670841217041,43.57000000000005,42.16313962234275,,4619.0
31,Ada,16001002411,0.132,0.0824,0.053,0.3512,0.4265,66.59964587266052,11.47670841217041,43.57000000000005,42.93776914239376,,3448.0
32,Ada,16001002412,0.67,0.4623,0.465,0.8387,0.6845,63.46492128324333,11.47670841217041,42.25000000000006,37.726896567718015,,2197.0
33,Ada,16001002413,0.139,0.1397,0.086,0.2795,0.4265,73.92569294479829,11.47670841217041,43.85000000000002,42.04628559255845,,5568.0
34,Ada,16001010100,0.035,0.2078,0.096,0.2258,0.0465,18.806408326322288,11.47670841217041,55.33000000000004,46.540218795855374,,3767.0
35,Ada,16001010201,0.089,0.1863,0.125,0.1684,0.2652,24.273132167083197,1.0,55.950000000000045,48.38143348361752,,6196.0
36,Ada,16001010221,0.014,0.086,0.186,0.0967,0.0752,81.25914012850016,11.47670841217041,41.57000000000005,38.25986954639768,,4051.0
37,Ada,16001010222,0.15,0.1935,0.179,0.2939,0.3476,59.623228503702585,11.47670841217041,45.99000000000001,40.35123687206711,,8177.0
38,Ada,16001010223,0.107,0.0358,0.121,0.2114,0.4121,72.01724112505178,11.47670841217041,47.49000000000001,40.7895484379102,,4093.0
39,Ada,16001010310,0.075,0.0286,0.175,0.1827,0.3261,77.59757515999452,11.47670841217041,43.75000000000006,38.94283752283401,,17019.0
40,Ada,16001010313,0.096,0.1792,0.046,0.0896,0.4444,65.93579627604895,11.47670841217041,45.03000000000003,41.19218583138272,,13013.0
41,Ada,16001010321,0.501,0.6702,0.275,0.4301,0.6021,34.92561017291237,11.47670841217041,45.51000000000005,44.32063987830117,,4784.0
42,Ada,16001010322,0.512,0.5412,0.265,0.6845,0.5232,43.974798619421975,11.47670841217041,44.39000000000004,43.45649302612315,,4564.0
43,Ada,16001010331,0.068,0.1075,0.064,0.1792,0.3512,74.76462541966556,11.47670841217041,43.85000000000002,39.93133766335381,,13024.0
44,Ada,16001010332,0.279,0.2544,0.29,0.5125,0.3942,55.98482170415844,11.47670841217041,43.73000000000002,41.08454470483135,,7570.0
