COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioeconomic Status,Household Composition and Disability,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,Area,PM-2-5,Heatwave,Density_Population,Year
Ada,16001000100,0.771,0.8653,0.8552,0.2997,0.5387,27.925583109056795,1.4884748458862305,51.53000000000003,42.51015103622333,471.40139593127736,4403.0,4.326350159,3349.1156121759705,104596.0,1017.716975783975,2015
Ada,16001000201,0.1684,0.8047,0.064,0.1448,0.0202,17.759402893766314,1.4884748458862305,58.31,44.90880469475722,471.40837034255054,3649.0,14.24455556,2667.50317003287,71858.0,256.1680485312383,2015
Ada,16001000202,0.0034,0.0505,0.0034,0.0539,0.1347,15.834661602715212,1.4884748458862305,59.77000000000004,46.00161872197654,455.70894655058726,6130.0,33.76655167,2478.76892392466,124372.0,181.54059851620025,2015
Ada,16001000302,0.5791,0.7879,0.4074,0.1717,0.6296,78.04394363719005,1.4884748458862305,50.450000000000045,42.23309951109522,455.7378119826315,3803.0,2.089301575,3015.3353329881284,97805.0,1820.2254980830137,2015
Ada,16001000303,0.2828,0.569,0.2458,0.3064,0.3131,66.84556037217797,1.4884748458862305,49.13000000000005,41.52023746396283,455.7378119826315,2322.0,2.153634573,3069.7935830483984,59216.0,1078.1773422059566,2015
Ada,16001000304,0.2256,0.2054,0.1515,0.1886,0.8418,66.0391958313822,1.4884748458862305,55.51000000000005,43.11471917448754,456.0326825493437,7138.0,4.093523872,2885.158716414277,171565.0,1743.7299068473592,2015
Ada,16001000400,0.6465,0.8316,0.7576,0.0707,0.5253,58.442666017874544,1.4884748458862305,50.57000000000005,41.266006754750826,455.7378119826315,6796.0,3.945852113,3259.1275376000854,168891.0,1722.3149285321429,2015
Ada,16001000500,0.0976,0.1178,0.1212,0.202,0.4512,85.9632946636113,1.4884748458862305,51.870000000000005,41.58617690691585,455.7378119826315,6590.0,3.0992903160000003,3193.540875915864,164298.0,2126.293224606713,2015
Ada,16001000600,0.0471,0.1313,0.0606,0.1145,0.367,88.44100196134474,1.4884748458862305,51.25000000000006,41.90214598350983,459.39780680606736,6139.0,2.072902027,3254.950889913831,119030.0,2961.548553688592,2015
Ada,16001000701,0.138,0.596,0.0337,0.1246,0.2694,72.06612976914602,1.4884748458862305,52.79000000000002,42.78055938339964,480.10269713401806,5203.0,2.852417612,3197.578296551438,128634.0,1824.0667068213293,2015
Ada,16001000702,0.0236,0.0539,0.0168,0.0404,0.4242,23.75221595288136,1.4884748458862305,58.650000000000034,44.36731534406248,480.0140553139647,3691.0,16.523460019999998,2537.807696675611,71584.0,223.37936458419804,2015
Ada,16001000802,0.2458,0.3704,0.1448,0.3603,0.5017,70.0253053743143,1.4884748458862305,51.51000000000005,42.61942164320613,480.10269713401806,6110.0,2.8030508160000003,2922.069743497654,152151.0,2179.767831936444,2015
Ada,16001000803,0.0673,0.1111,0.1684,0.0236,0.468,63.48078970112287,1.4884748458862305,52.71000000000004,42.75363479953669,480.0186683343927,4886.0,2.375226247,2750.7205204675124,124645.0,2057.067197775876,2015
Ada,16001000804,0.2424,0.5253,0.2694,0.0505,0.5926,60.8420018421859,1.4884748458862305,50.43000000000001,42.05754121899852,480.10269713401806,6231.0,3.121335389,3124.947097343398,156213.0,1996.26096636679,2015
Ada,16001000805,0.0,0.0101,0.0,0.0269,0.1549,78.16416462998748,1.4884748458862305,51.47000000000003,41.97379091277954,480.0290420501424,3499.0,2.878843485,2808.8951037978977,91241.0,1215.4186284288394,2015
Ada,16001000900,0.6263,0.8923,0.7475,0.0101,0.7205,48.53434146181838,1.4884748458862305,50.670000000000016,41.85392931374148,480.10269713401806,6447.0,2.654953144,3120.9376702855443,163238.0,2428.291442570182,2015
Ada,16001001000,0.303,0.5219,0.3266,0.0438,0.6633,73.7030186236332,1.4884748458862305,52.43000000000001,42.10538706580352,468.1958845380787,6687.0,4.42368222,3143.0717791543866,175106.0,1511.6366111849688,2015
Ada,16001001100,0.9899,0.9125,0.9865,0.9663,0.8215,25.88022194319069,1.4884748458862305,51.23000000000002,42.02219416230361,455.7378119826315,4628.0,5.417533513,3172.0311948556373,120123.0,854.2632895384176,2015
Ada,16001001201,0.1751,0.0842,0.2727,0.2391,0.5152,83.35857595631163,1.4884748458862305,51.190000000000055,42.519940067079126,455.7378119826315,3793.0,2.129897469,3150.5842760396527,102970.0,1780.83689717742,2015
Ada,16001001202,0.7609,0.9495,0.5791,0.5556,0.5892,51.08408737248571,1.4884748458862305,53.110000000000014,43.39906078649378,459.7897942027932,7167.0,3.323578881,3132.9145185124808,185133.0,2156.410380680837,2015
Ada,16001001400,0.7542,0.7138,0.7037,0.5758,0.7071,54.92516385345081,1.4884748458862305,53.59000000000003,43.61362570874005,472.9897489875909,5995.0,2.645826986,2949.2255088751317,152778.0,2265.8322073671675,2015
Ada,16001001500,0.1212,0.1515,0.3502,0.0303,0.3434,65.96595622599412,1.4884748458862305,50.81,41.97627547326441,480.10269713401806,3909.0,2.547395589,2984.422764633392,97878.0,1534.508427697525,2015
Ada,16001001600,0.3737,0.3468,0.4815,0.2492,0.4141,47.01831806078873,1.4884748458862305,53.27000000000004,42.8179594527056,480.10269713401806,4719.0,3.127048834,2842.9803518985227,120634.0,1509.0905996385218,2015
Ada,16001001700,0.5354,0.3333,0.7273,0.1077,0.7609,56.17166898758564,1.4884748458862305,50.99000000000001,41.83814554162836,480.10269713401806,6464.0,2.070219443,2910.4657776291056,162882.0,3122.374307640004,2015
