,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
39,Ada,16001001800,0.389,0.5582,0.6835,0.2703,0.6637,72.504312501506,,34.110000000000014,33.304346609045844,233.39941051608668,2902.0
40,Ada,16001001900,0.5055,0.5495,0.6044,0.5934,0.4637,61.429020629656414,,34.77000000000004,34.481862517999176,232.32370280631022,3235.0
41,Ada,16001002000,0.8879,0.989,0.9978,0.7824,0.9319,26.55774419936576,,35.13000000000005,34.4200015836567,229.03816488855185,3852.0
42,Ada,16001002100,0.0901,0.2615,0.2725,0.7187,0.189,10.059067896942867,,39.610000000000014,36.05984201742135,233.42823374963308,1280.0
43,Ada,16001002223,0.3978,0.1099,0.1231,0.3275,0.1121,72.31594977287446,,34.73000000000002,33.94095453722151,,2829.0
44,Ada,16001002225,0.5451,0.1538,0.0835,0.5429,0.1253,68.66427790361631,,33.110000000000014,32.68888464163828,,1960.0
45,Ada,16001002226,0.6571,0.0967,0.2681,0.0725,0.0549,62.48737100909285,,32.83000000000004,32.2906459895939,,1266.0
46,Ada,16001002227,0.7055,0.1209,0.0,0.7055,0.1231,81.5697074808122,,32.97000000000003,32.81548363539801,,2001.0
47,Ada,16001002228,0.6945,0.378,0.1341,0.6989,0.4659,48.597333988155256,,33.39000000000004,33.13141630901293,,1436.0
48,Ada,16001002229,0.2462,0.2462,0.3582,0.356,0.2044,70.79761181187129,,34.73000000000002,33.210515063853826,,2096.0
49,Ada,16001002230,0.6022,0.167,0.1714,0.2725,0.1648,76.5371367536023,,34.21000000000004,33.88411323328791,,2432.0
50,Ada,16001002231,0.6264,0.6549,0.5934,0.556,0.6747,36.20055784387571,,34.670000000000016,34.20192889022245,,1257.0
51,Ada,16001002313,0.6835,0.6879,0.756,0.7209,0.4396,49.767636594696185,,35.33000000000004,34.951494268374965,,2657.0
52,Ada,16001002314,0.5055,0.5824,0.6308,0.6176,0.4769,41.211469299554,,35.21000000000004,34.9220527425214,,3164.0
53,Ada,16001002315,0.7648,0.567,0.5692,0.6484,0.4066,55.56146027234774,,34.75000000000006,34.17947998654565,,3010.0
