,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001000100,0.63,0.8422,0.67,0.1863,0.6272,25.92064927541749,11.501142501831056,40.71000000000004,37.70019591634295,,2624.0
1,Ada,16001000200,0.125,0.3942,0.028,0.0752,0.3799,14.73930520990396,11.501142501831056,47.73000000000002,44.065960855658986,,5785.0
2,Ada,16001000301,0.136,0.3261,0.025,0.0716,0.491,65.02931262089751,11.501142501831056,43.35000000000002,34.30522775454083,,5647.0
3,Ada,16001000302,0.756,0.8637,0.344,0.9032,0.5949,78.5284165569577,11.501142501831056,41.21000000000004,37.97989893754863,,2299.0
4,Ada,16001000400,0.738,0.9247,0.616,0.4121,0.6953,57.183229575322095,11.501142501831056,40.150000000000034,37.724057060829054,,4200.0
5,Ada,16001000500,0.179,0.1362,0.315,0.2688,0.4265,88.82000391139798,11.501142501831056,41.55000000000001,39.39340269418172,,3869.0
6,Ada,16001000600,0.143,0.344,0.111,0.0465,0.448,90.66288494911878,11.501142501831056,40.57000000000005,39.79702906627799,,3614.0
7,Ada,16001000700,0.189,0.5304,0.078,0.0573,0.5017,30.536233269283343,11.501142501831056,46.77000000000004,39.84558548159546,,5112.0
8,Ada,16001000801,0.215,0.5806,0.129,0.0609,0.4802,69.85544849001107,11.501142501831056,39.370000000000005,37.46942347786672,,5840.0
9,Ada,16001000802,0.197,0.2473,0.068,0.2974,0.5698,69.66881675966205,11.501142501831056,39.55000000000001,39.29113540419636,,3574.0
10,Ada,16001000803,0.053,0.0465,0.1,0.1326,0.3655,67.96056712158828,11.501142501831056,40.07000000000005,38.00007042786828,,2929.0
11,Ada,16001000900,0.594,0.9318,0.541,0.0537,0.7025,47.373225298612006,11.501142501831056,39.450000000000045,36.53907509034936,,3604.0
12,Ada,16001001000,0.681,0.9426,0.247,0.5448,0.724,72.43651673046277,11.501142501831056,40.910000000000025,35.27863292750859,,3959.0
13,Ada,16001001100,0.949,0.9605,0.738,0.81,0.9211,23.54667102369968,11.501142501831056,40.150000000000034,34.65833627353504,,2725.0
14,Ada,16001001201,0.06,0.0609,0.0,0.2329,0.3799,73.98496616256483,11.501142501831056,40.07000000000005,36.649285065632,,2208.0
15,Ada,16001001202,0.82,0.9175,0.383,0.8243,0.7347,40.667817877317965,11.501142501831056,42.170000000000016,40.50196579322444,,4259.0
16,Ada,16001001400,0.774,0.8243,0.304,0.8781,0.7311,51.25789145690517,11.501142501831056,41.43000000000001,40.31659700687612,,3480.0
17,Ada,16001001500,0.315,0.1899,0.057,0.6881,0.5949,67.56142583451036,11.501142501831056,39.71000000000004,38.12935519966433,,2291.0
18,Ada,16001001600,0.229,0.5232,0.279,0.2365,0.2616,49.31179224892625,11.501142501831056,40.21000000000004,39.39885128320075,,2846.0
19,Ada,16001001700,0.734,0.7526,0.48,0.5878,0.8136,59.841942337481655,11.501142501831056,39.53000000000003,35.01178769017983,,3651.0
