,COUNTY,FIPS,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioencomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion,PM-2-5
0,Ada,16001000101,0.022,0.8374,0.989,0.2022,0.9582,36.465149625469536,,32.85000000000002,32.703280763643946,0.0,1039.0,3858.201477343362
1,Ada,16001000102,0.6725,0.6088,0.6637,0.1978,0.7538,23.035913047240385,,33.150000000000034,32.85658108569479,0.0,1597.0,3958.395655884196
2,Ada,16001000201,0.2484,0.3077,0.6879,0.3231,0.1055,25.02337009894737,,36.170000000000016,34.49887825016474,1098.0322644359462,2078.0,3316.2190084724525
3,Ada,16001000202,0.1297,0.1626,0.1538,0.5538,0.1451,25.917399510216946,,37.59000000000003,35.495464099537365,1101.4437442523872,3667.0,3171.1804487415243
4,Ada,16001000302,0.3275,0.7407,0.9121,0.4967,0.7033,81.68172803880138,,34.97000000000003,33.66849852966615,1101.0954946875568,2287.0,3658.9976218244974
5,Ada,16001000303,0.4044,0.4593,0.5473,0.3868,0.444,68.22077940119696,,33.73000000000002,33.2531060473269,1101.0954946875568,1377.0,3722.643817262885
6,Ada,16001000305,0.0857,0.3341,0.233,0.3626,0.578,67.84610911205621,,36.27000000000004,34.46603491844706,0.0,1569.0,3514.075796751229
7,Ada,16001000306,0.3231,0.2242,0.2286,0.189,0.3407,77.45742176341376,,35.870000000000005,34.17242776940985,0.0,2702.0,3583.349764227707
8,Ada,16001000401,0.0374,0.4242,0.2967,0.6747,0.5538,77.01665227708638,,33.170000000000016,32.91669626785073,0.0,1453.0,3775.8758669392246
9,Ada,16001000402,0.7846,0.5714,0.9231,0.2462,0.3077,54.79448808124595,,32.83000000000004,32.468222654787766,0.0,2706.0,3902.732840135357
10,Ada,16001000501,0.2725,0.356,0.5582,0.2264,0.3824,78.01133706860486,,34.410000000000025,32.85126795895099,0.0,1885.0,3779.4058405874166
11,Ada,16001000502,0.7187,0.2044,0.2132,0.1231,0.2813,88.46365965754255,,34.410000000000025,32.96455799231293,0.0,1991.0,3839.906791466381
12,Ada,16001000601,0.2132,0.0088,0.1934,0.0154,0.0044,89.64766260703075,,33.71000000000004,32.92095255744999,0.0,1578.0,3865.476396854137
13,Ada,16001000602,0.4352,0.1802,0.2418,0.0747,0.3451,84.40036643893373,,33.71000000000004,32.67870390884638,0.0,2062.0,3867.159483337922
14,Ada,16001000701,0.4264,0.3385,0.8198,0.156,0.1143,75.71840120704098,,34.950000000000045,33.10396177237189,1096.232365489006,3010.0,3791.325177260826
15,Ada,16001000703,0.6549,0.0066,0.0,0.0462,0.0396,49.26272001986774,,35.05000000000001,33.445025327771134,0.0,31.0,3201.3392080537587
16,Ada,16001000704,0.233,0.0923,0.5538,0.0396,0.0088,41.79875306165457,,36.29000000000002,34.33734002493606,0.0,2057.0,3134.4010693940454
17,Ada,16001000803,0.7407,0.2198,0.1516,0.3451,0.2176,74.15553196970035,,33.59000000000003,32.62604408698246,1096.2974271627813,2982.0,3328.0173703720443
18,Ada,16001000805,0.4901,0.0747,0.1275,0.2505,0.0374,86.90552709227353,,33.21000000000004,32.725848567193694,1096.2893950200764,2039.0,3365.446744033998
19,Ada,16001000806,0.7253,0.7275,0.6,0.0923,0.9978,61.214259438852295,,32.83000000000004,32.34275186567169,0.0,1524.0,3720.4832868508847
20,Ada,16001000807,0.7912,0.4198,0.4681,0.0857,0.6198,79.73795707951639,,32.370000000000005,32.31174151525543,0.0,1272.0,3627.6971211040704
21,Ada,16001000808,0.3099,0.1978,0.3648,0.1912,0.1978,69.50406838917601,,32.910000000000025,32.32788560157796,0.0,1026.0,3668.9857481496488
22,Ada,16001000809,0.1363,0.1341,0.156,0.5055,0.1033,81.85455308654932,,33.59000000000003,32.558113835906774,0.0,1582.0,3424.5479105170743
23,Ada,16001000810,0.389,0.0813,0.2154,0.0264,0.1912,78.96522357390087,,33.59000000000003,32.80045829713297,0.0,1977.0,3496.0908594421776
24,Ada,16001000901,0.6242,0.4462,0.4198,0.2176,0.6088,72.32801015793349,,32.85000000000002,32.526705495818426,0.0,1290.0,3556.3405216190286
25,Ada,16001000902,0.7758,0.6637,0.8615,0.0198,0.8967,45.25037001718468,,32.83000000000004,32.18519033927546,0.0,2344.0,3757.4057446953952
26,Ada,16001001001,0.0637,0.2396,0.3231,0.1495,0.4242,69.43481419171886,,33.97000000000003,33.40154397520342,0.0,1482.0,3726.3146085877024
27,Ada,16001001002,0.7231,0.3692,0.3934,0.0088,0.7802,74.10246689593545,,33.51000000000005,32.51715844937903,0.0,644.0,3779.0991533581623
28,Ada,16001001003,0.2637,0.4901,0.4462,0.4066,0.6791,82.90216621224155,,33.59000000000003,32.69930872626416,0.0,1817.0,3704.8586448479864
29,Ada,16001001100,0.8286,0.9209,0.7538,0.7736,0.9385,35.40165167705454,,33.29000000000002,33.02757617554864,1101.095494687557,2759.0,3771.1418717163538
30,Ada,16001001201,0.4044,0.4484,0.4418,0.5868,0.3934,84.74116960552887,,33.97000000000003,33.28616957356259,1101.0954946875568,2189.0,3736.2198802493754
31,Ada,16001001203,0.6835,0.5055,0.8264,0.2396,0.3473,65.3700541033831,,34.370000000000005,33.63811214272714,0.0,2259.0,3756.4270173699047
32,Ada,16001001204,0.5516,0.844,0.8747,0.811,0.7055,29.06077478598489,,34.83000000000004,34.25576382252562,0.0,2009.0,3677.8277546607655
33,Ada,16001001401,0.4549,0.4264,0.4484,0.211,0.6132,64.00581682697806,,34.93000000000001,33.63934975499936,0.0,1635.0,3585.0530211397154
34,Ada,16001001402,0.4242,0.8396,0.8549,0.7516,0.7956,61.64504258930381,,34.09000000000003,33.238933884297545,0.0,1845.0,3568.614619394327
35,Ada,16001001500,0.5055,0.2857,0.4615,0.1121,0.3341,77.95299171153731,,32.870000000000005,32.4074985867722,1096.2323654890063,2287.0,3584.4157242662977
36,Ada,16001001600,0.7319,0.7143,0.6681,0.2791,0.8615,60.01674912324903,,33.650000000000034,33.04790317927414,1096.232365489006,2801.0,3462.1529468767358
37,Ada,16001001701,0.7802,0.5077,0.6088,0.1692,0.6,73.11212920542367,,33.03000000000003,32.661389241846706,0.0,1241.0,3547.0319051141387
38,Ada,16001001702,0.6484,0.7077,0.644,0.3077,0.8703,70.16408790876348,,33.03000000000003,32.75871903750887,0.0,2463.0,3534.933040826356
39,Ada,16001001800,0.389,0.5582,0.6835,0.2703,0.6637,72.504312501506,,34.110000000000014,33.304346609045844,1094.8082197694023,2902.0,3488.536089460865
40,Ada,16001001900,0.5055,0.5495,0.6044,0.5934,0.4637,61.429020629656414,,34.77000000000004,34.481862517999176,1087.9218768711623,3235.0,3513.914539270956
41,Ada,16001002000,0.8879,0.989,0.9978,0.7824,0.9319,26.55774419936576,,35.13000000000005,34.4200015836567,1095.1337579247502,3852.0,3622.6542570077163
42,Ada,16001002100,0.0901,0.2615,0.2725,0.7187,0.189,10.059067896942867,,39.610000000000014,36.05984201742135,1094.5188365641816,1280.0,3212.742817059151
43,Ada,16001002223,0.3978,0.1099,0.1231,0.3275,0.1121,72.31594977287446,,34.73000000000002,33.94095453722151,1087.166722297669,2829.0,3346.0566907967186
44,Ada,16001002225,0.5451,0.1538,0.0835,0.5429,0.1253,68.66427790361631,,33.110000000000014,32.68888464163828,0.0,1960.0,3186.1625475507367
45,Ada,16001002226,0.6571,0.0967,0.2681,0.0725,0.0549,62.48737100909285,,32.83000000000004,32.2906459895939,0.0,1266.0,3206.7809951681256
46,Ada,16001002227,0.7055,0.1209,0.0,0.7055,0.1231,81.5697074808122,,32.97000000000003,32.81548363539801,0.0,2001.0,3238.806310554553
47,Ada,16001002228,0.6945,0.378,0.1341,0.6989,0.4659,48.597333988155256,,33.39000000000004,33.13141630901293,0.0,1436.0,3248.6868098490354
48,Ada,16001002229,0.2462,0.2462,0.3582,0.356,0.2044,70.79761181187129,,34.73000000000002,33.210515063853826,0.0,2096.0,3273.5599206737143
49,Ada,16001002230,0.6022,0.167,0.1714,0.2725,0.1648,76.5371367536023,,34.21000000000004,33.88411323328791,0.0,2432.0,3371.7239726269636
50,Ada,16001002231,0.6264,0.6549,0.5934,0.556,0.6747,36.20055784387571,,34.670000000000016,34.20192889022245,0.0,1257.0,3420.2023965376275
51,Ada,16001002313,0.6835,0.6879,0.756,0.7209,0.4396,49.767636594696185,,35.33000000000004,34.951494268374965,1087.166722297669,2657.0,3529.246364833137
52,Ada,16001002314,0.5055,0.5824,0.6308,0.6176,0.4769,41.211469299554,,35.21000000000004,34.9220527425214,0.0,3164.0,3521.7895024697254
53,Ada,16001002315,0.7648,0.567,0.5692,0.6484,0.4066,55.56146027234774,,34.75000000000006,34.17947998654565,0.0,3010.0,3534.251506398853
54,Ada,16001002316,0.7407,0.6747,0.6989,0.7429,0.4418,52.00322630535177,,34.75000000000006,34.23247503373824,0.0,1503.0,3609.118633759282
55,Ada,16001002317,0.7363,0.5846,0.4308,0.7077,0.5297,49.99499036381745,,34.75000000000006,34.31043848964685,0.0,1947.0,3554.5021099426594
56,Ada,16001002318,0.7473,0.7473,0.7516,0.633,0.6615,53.836564552282695,,34.410000000000025,34.1588744412841,0.0,2908.0,3685.898131538766
57,Ada,16001002319,0.8088,0.8527,0.7319,0.7714,0.7846,19.86263750673442,,35.33000000000004,34.78798516816382,0.0,2200.0,3573.395698464931
58,Ada,16001002412,0.3011,0.5758,0.8571,0.5099,0.3736,53.41748708516575,,33.29000000000002,31.27703717506757,1133.590457677285,2185.0,3575.9816601966704
59,Ada,16001002414,0.611,0.578,0.7187,0.3253,0.5231,65.36890299270698,,33.870000000000005,33.84681020733653,0.0,1835.0,3679.034411062388
60,Ada,16001002415,0.578,0.1407,0.0549,0.4593,0.1758,73.41823424550681,,33.870000000000005,33.300756023262274,0.0,1619.0,3693.9667567675606
61,Ada,16001002416,0.7121,0.5341,0.3604,0.811,0.4571,80.66596229469599,,33.870000000000005,33.57927839223095,0.0,3659.0,3642.9293366187994
62,Ada,16001002417,0.7253,0.2967,0.4901,0.5275,0.044,73.54685962065386,,33.09000000000003,32.62454489019946,0.0,1823.0,3638.562432548054
63,Ada,16001002418,0.3626,0.1758,0.3011,0.0967,0.2659,69.21363933643516,,33.870000000000005,33.64963768744043,0.0,2395.0,3709.4983599036846
64,Ada,16001002419,0.1187,0.3516,0.3934,0.2923,0.5121,68.5773870481321,,33.53000000000003,32.329638724245015,0.0,2286.0,3709.5217900209113
65,Ada,16001010101,0.5978,0.1956,0.3538,0.4945,0.0154,34.50488983724385,,38.89000000000004,32.89881687858481,0.0,1384.0,2505.0784228568136
66,Ada,16001010102,0.2132,0.0154,0.0,0.1736,0.0462,15.968802266988776,,39.950000000000045,36.62530804092106,0.0,2370.0,2809.780552395452
67,Ada,16001010224,0.1582,0.0264,0.0374,0.2593,0.0484,93.5193291864263,,35.670000000000016,32.3026370776527,1169.1571587324142,2864.0,3219.0807828264446
68,Ada,16001010226,0.3077,0.1143,0.2022,0.1209,0.211,64.34079569004385,,34.21000000000004,32.69549858148579,0.0,901.0,3326.5920604341422
69,Ada,16001010227,0.0901,0.0637,0.0571,0.1429,0.2593,49.528723611844015,,34.31,33.04958792107278,0.0,1815.0,3322.668474368019
70,Ada,16001010228,0.4505,0.2308,0.1934,0.2418,0.3363,63.70098638882983,,32.93000000000001,32.34550817864365,0.0,812.0,3353.482821213887
71,Ada,16001010229,0.778,0.2923,0.5297,0.4484,0.0352,67.39175729000878,,40.55000000000001,33.85302115957526,0.0,618.0,3292.506980958422
72,Ada,16001010230,0.0835,0.0308,0.0418,0.0527,0.222,16.816597456082828,,42.57000000000005,39.25460335038011,0.0,2040.0,2809.1500575494742
73,Ada,16001010231,0.178,0.0571,0.1275,0.3648,0.0066,89.30396561938204,,33.43000000000001,32.195523997884294,0.0,991.0,3300.4745157408643
74,Ada,16001010232,0.1143,0.1011,0.3077,0.1802,0.0505,88.70330151295704,,32.53000000000003,31.641691747572867,0.0,1702.0,3276.574068444494
75,Ada,16001010233,0.3473,0.5538,0.6615,0.2615,0.7121,89.14531942341543,,32.35000000000002,30.540116277054864,0.0,1362.0,3254.983087205502
76,Ada,16001010234,0.4132,0.3956,0.5341,0.6835,0.1714,62.78296609831831,,33.97000000000003,32.42476371999914,0.0,2530.0,3311.3804127143094
77,Ada,16001010235,0.6352,0.2352,0.1451,0.4396,0.2264,86.86750479012876,,33.650000000000034,32.55971167990586,0.0,2793.0,3188.8025810593526
78,Ada,16001010236,0.1582,0.2066,0.2791,0.3495,0.2154,75.04544732997489,,33.73000000000002,32.54013212015459,0.0,1815.0,3565.9138176960673
79,Ada,16001010237,0.4352,0.5121,0.6769,0.3516,0.4989,71.05576383025142,,36.27000000000004,34.63553704715096,0.0,2300.0,3404.1343993031514
80,Ada,16001010336,0.1033,0.0022,0.0,0.0571,0.0901,71.35089979921486,,33.79000000000002,31.66103261169715,0.0,1198.0,3279.1645335423123
81,Ada,16001010337,0.3473,0.1055,0.0637,0.5231,0.0989,64.31288998492333,,35.110000000000014,32.32013947030741,0.0,1894.0,3260.5763582592544
82,Ada,16001010338,0.1934,0.0418,0.0505,0.2286,0.0681,67.47945400561993,,35.110000000000014,34.24461750834007,0.0,2261.0,3258.631002964938
83,Ada,16001010339,0.2484,0.011,0.1121,0.0286,0.0176,55.02395872845739,,33.150000000000034,32.280248693395095,0.0,934.0,3198.723784293079
84,Ada,16001010340,0.1978,0.7451,0.8879,0.7956,0.5758,52.50810914092388,,35.13000000000005,34.361838588707606,0.0,2167.0,3307.2171218410213
85,Ada,16001010341,0.4418,0.0132,0.0396,0.0703,0.0286,65.93020556651568,,33.21000000000004,32.94796073166641,0.0,1613.0,3147.3783804582126
86,Ada,16001010342,0.5451,0.0901,0.1363,0.1099,0.1297,51.14021212750285,,33.21000000000004,32.956559881048975,0.0,1555.0,3165.7699205019762
87,Ada,16001010343,0.3341,0.0527,0.1011,0.0769,0.1429,40.92796797847736,,35.07000000000005,34.31620080541831,0.0,1387.0,3307.4050335372876
88,Ada,16001010344,0.6308,0.3495,0.2418,0.5824,0.2923,51.78764482927272,,35.13000000000005,34.00602740664616,0.0,1806.0,3332.256556008565
89,Ada,16001010345,0.5385,0.2725,0.2989,0.3011,0.2769,62.357894240294456,,33.950000000000045,33.32997282977856,0.0,1700.0,3330.009938943752
90,Ada,16001010346,0.3011,0.0945,0.1582,0.2352,0.0835,59.58323374385135,,33.910000000000025,32.643124576918915,0.0,548.0,3278.9072899720118
91,Ada,16001010347,0.4879,0.7319,0.9473,0.6967,0.4352,46.3053095184618,,35.27000000000004,34.91052497416474,0.0,2405.0,3406.8507966074853
92,Ada,16001010348,0.622,0.4132,0.4022,0.1275,0.644,62.79651687803581,,35.09000000000003,34.29424680475985,0.0,2164.0,3335.482060856264
93,Ada,16001010349,0.3341,0.0044,0.0,0.0132,0.1604,78.01547036285177,,33.170000000000016,31.7768972836982,0.0,1484.0,3415.7775059891346
94,Ada,16001010350,0.7055,0.2659,0.0,0.2176,0.8198,87.9411418327423,,34.150000000000034,33.30427712489755,0.0,1726.0,3415.880727013722
95,Ada,16001010351,0.1868,0.2571,0.0,0.7978,0.5692,57.85967018455248,,33.610000000000014,32.83189099741916,0.0,1016.0,3303.01524241176
96,Ada,16001010352,0.4549,0.0396,0.0945,0.0176,0.1473,79.37945954740205,,34.59000000000003,33.882156285542294,0.0,3505.0,3404.4168964800397
97,Ada,16001010353,0.4989,0.0374,0.0,0.3934,0.022,76.40347664254529,,33.610000000000014,33.40799777375818,0.0,1925.0,3339.4245948509133
98,Ada,16001010354,0.2923,0.0703,0.1055,0.2484,0.0967,77.75491325114687,,33.43000000000001,32.32162657189724,0.0,2988.0,3228.585837365579
99,Ada,16001010355,0.3011,0.0198,0.0923,0.0615,0.0132,87.4187664879707,,32.93000000000001,30.26276343759487,0.0,320.0,3341.1910890091644
100,Ada,16001010356,0.7385,0.0,0.0,0.044,0.0022,75.04979681259374,,33.43000000000001,32.74585947480485,0.0,875.0,3303.1644416518475
101,Ada,16001010357,0.8088,0.0242,0.0703,0.167,0.0,87.81155067598873,,32.150000000000034,30.4113392189137,0.0,1508.0,3256.0566596593685
102,Ada,16001010358,0.3538,0.0462,0.2066,0.0593,0.0198,55.651336991974695,,33.43000000000001,32.56616772895007,0.0,952.0,3285.679921432073
103,Ada,16001010359,0.5495,0.3802,0.2264,0.5033,0.4967,70.85930109825185,,33.73000000000002,33.632421592073804,0.0,2648.0,3530.6534953390315
104,Ada,16001010360,0.4989,0.0549,0.0967,0.1407,0.0527,68.71211867528385,,33.370000000000005,32.575218825146,0.0,2690.0,3511.7126878890267
105,Ada,16001010361,0.5604,0.0791,0.0,0.0418,0.4813,81.31886887047047,,33.370000000000005,32.451038593655355,0.0,3014.0,3431.143148487979
106,Ada,16001010362,0.3341,0.1429,0.0352,0.5846,0.2308,76.14901555358806,,33.73000000000002,33.64223840306886,0.0,2932.0,3408.2682858046705
107,Ada,16001010363,0.4703,0.1165,0.0659,0.4374,0.1538,64.37434971021202,,33.73000000000002,33.612905428243124,0.0,1927.0,3393.2721366498863
108,Ada,16001010364,0.8242,0.4022,0.3451,0.7143,0.2,72.29023986749856,,34.99000000000001,34.33611573576799,0.0,2716.0,3425.0924260360866
109,Ada,16001010365,0.3143,0.1121,0.178,0.3363,0.0703,66.70595431546629,,33.73000000000002,33.61412479740685,0.0,1911.0,3479.7692742915588
110,Ada,16001010366,0.4418,0.1692,0.0769,0.2659,0.3692,61.20795019478611,,35.150000000000034,34.29739270312826,0.0,1877.0,3500.356984081054
111,Ada,16001010367,0.5846,0.833,0.7077,0.9055,0.7407,71.81684474989525,,35.150000000000034,34.24733072066189,0.0,3400.0,3456.9275166388106
112,Ada,16001010368,0.4352,0.5011,0.5099,0.2835,0.7011,38.29262183727484,,35.71000000000004,35.221174915905884,0.0,1955.0,3431.087865249193
113,Ada,16001010369,0.1407,0.0615,0.2747,0.0352,0.1011,47.59266708809836,,35.71000000000004,35.44359426328023,0.0,1150.0,3450.006160033086
114,Ada,16001010370,0.7912,0.644,0.9143,0.6527,0.2198,42.374077273316864,,35.71000000000004,34.97813999734853,0.0,1665.0,3481.6680593704214
115,Ada,16001010371,0.9165,0.4154,0.4,0.3648,0.3121,59.282732088051816,,34.63000000000005,34.06113098868337,0.0,1359.0,3516.637495830968
116,Ada,16001010403,0.1143,0.033,0.0747,0.1055,0.0923,84.84360605136013,,32.57000000000005,30.10866370919438,0.0,1829.0,3249.0928394199555
117,Ada,16001010404,0.4132,0.5143,0.4549,0.4615,0.6527,65.7893885186875,,32.97000000000003,32.68660426454648,0.0,2559.0,3063.9348563500043
118,Ada,16001010405,0.1714,0.3099,0.2615,0.3055,0.5275,51.931586413955465,,32.51000000000005,31.95329355608593,0.0,1124.0,3103.2549591123543
119,Ada,16001010406,0.1736,0.1363,0.0813,0.7495,0.0813,59.02194329943276,,32.93000000000001,32.10176191131922,0.0,3108.0,3201.534800680774
120,Ada,16001010407,0.7846,0.2945,0.2374,0.3736,0.2615,76.8305985111844,,32.97000000000003,30.54105056540978,0.0,1916.0,3256.561471159979
121,Ada,16001010408,0.3538,0.178,0.611,0.0813,0.0725,80.56122063455537,,32.950000000000045,30.500496477590232,0.0,1830.0,3229.154762622989
122,Ada,16001010409,0.3187,0.1648,0.1802,0.0989,0.3604,59.39307275474292,,33.33000000000004,32.43756895709629,0.0,2167.0,3167.6708181741387
123,Ada,16001010410,0.4,0.2374,0.1033,0.4352,0.3626,50.15646936008318,,32.97000000000003,32.65246466356327,0.0,2547.0,3116.455087006602
124,Ada,16001010411,0.3692,0.022,0.0791,0.1011,0.0264,62.63044200731159,,36.31,33.16619501728458,0.0,2375.0,3137.0818504943036
125,Ada,16001010501,0.7253,0.2593,0.3802,0.0901,0.3033,13.70955954528922,,41.07000000000005,37.340355894229525,1096.9630354229957,5112.0,2560.4346318536714
126,Ada,16001010503,0.8791,0.3648,0.589,0.422,0.0879,1.174998407798678,,49.55000000000001,37.813715694925776,1120.1856003124294,2713.0,2489.871828305755
127,Ada,16001010505,0.8088,0.1714,0.2571,0.022,0.3231,43.61115656435791,,33.53000000000003,33.15383984952306,0.0,1164.0,3194.9709685201383
128,Ada,16001010506,0.6791,0.0835,0.0901,0.1385,0.1209,49.77591599903715,,34.71000000000004,33.341479084362994,0.0,2881.0,3195.140656294441
129,Adams,16003950100,0.1407,0.2022,0.2659,0.1143,0.4308,94.96266334387144,,31.370000000000005,22.40753026045669,1281.0680323814377,1332.0,1942.8748210316203
130,Adams,16003950200,0.2857,0.7011,0.7165,0.4154,0.7934,68.34219423865238,,45.690000000000055,28.85215613834461,1417.148837678219,1714.0,2136.185645129519
131,Bannock,16005000200,0.0615,0.2484,0.2923,0.4659,0.2462,80.75726931754794,,45.410000000000025,31.036991325634432,738.3765825642506,2940.0,1625.6090967491657
132,Bannock,16005000301,0.8703,0.9011,0.978,0.6044,0.6857,42.06470264044571,,33.670000000000016,31.77080854379613,0.0,3070.0,2263.470079348305
133,Bannock,16005000302,0.3868,0.3407,0.4286,0.1363,0.4879,70.65136433645232,,34.21000000000004,31.17392487665129,0.0,4177.0,2266.3988464472463
134,Bannock,16005000400,0.4505,0.1319,0.1473,0.3407,0.1077,75.3385230433056,,32.910000000000025,30.285439517730985,754.7422066926954,4302.0,2394.374828705438
