,COUNTY,FIPS,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioencomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion,PM-2-5
209,Bonneville,16019970700,0.9187,0.9934,0.9758,0.8352,0.978,35.71697981981196,,35.170000000000016,34.023427443696335,710.85789426934,3719.0,2380.960502044818
210,Bonneville,16019970800,0.6901,0.6154,0.4505,0.7934,0.5516,75.205032180992,,34.21000000000004,33.30820933752477,712.9626809477608,2590.0,2442.1616902657834
211,Bonneville,16019970900,0.5516,0.1934,0.0484,0.833,0.156,72.94742673365626,,33.71000000000004,32.78487050782296,709.3060993727232,3107.0,2575.042238885434
212,Bonneville,16019971000,0.4703,0.8857,0.8308,0.8791,0.8242,59.20080478006411,,34.190000000000055,33.098050068179425,718.1599464749005,3210.0,2289.268811715724
213,Bonneville,16019971100,0.6066,0.6769,0.5275,0.6462,0.7341,60.41215106966966,,34.21000000000004,33.97248173721607,717.6779141124046,2395.0,2363.019243193266
214,Bonneville,16019971200,0.7143,0.9604,0.9165,0.9143,0.9099,46.91180246120216,,34.610000000000014,33.463492757584106,717.298056449041,3168.0,2276.481121629504
215,Bonneville,16019971301,0.7978,0.4989,0.4527,0.622,0.3714,67.6977721394786,,34.610000000000014,31.95023656218316,717.9274761435835,4604.0,2297.8810098673466
216,Bonneville,16019971302,0.844,0.8198,0.8989,0.8571,0.433,76.56797349803458,,34.23000000000002,32.46799828041912,718.2502022981644,3555.0,2246.4389831699255
217,Bonneville,16019971401,0.5802,0.6176,0.7978,0.5956,0.367,78.90977518840107,,36.59000000000003,31.703132148328688,0.0,2458.0,2409.640699413434
218,Bonneville,16019971402,0.4264,0.0659,0.0879,0.2989,0.0637,92.7287294565638,,32.59000000000003,30.865822292305943,0.0,3569.0,2416.077850312502
219,Bonneville,16019971500,0.8,0.5407,0.6066,0.5077,0.4132,41.58935885679008,,47.93000000000001,36.74367793305406,721.5259968527523,1216.0,1798.1567569058493
220,Boundary,16021970100,0.1736,0.556,0.7297,0.4813,0.5143,94.87253105970612,,39.190000000000055,23.54551890354121,1119.1180730373378,4360.0,1916.918207192632
221,Boundary,16021970200,0.5253,0.7934,0.8,0.4879,0.8352,94.87650113328696,,35.89000000000004,19.4336459336824,1166.4600654568596,4114.0,1725.5444019265128
222,Butte,16023970100,0.0681,0.6462,0.8044,0.4725,0.6835,12.551954608960065,,49.950000000000045,36.23886706440727,821.1807235914393,2545.0,1585.3631650110792
223,Camas,16025970100,0.1033,0.4967,0.2308,0.7231,0.7824,46.33973016340542,,42.53000000000003,31.762583200803785,819.8394284115939,851.0,1753.0031631468835
224,Canyon,16027020100,0.8901,0.9451,0.9297,0.7516,0.8791,22.277073048803334,,35.59000000000003,35.22732354263453,1049.846174836159,614.0,3378.2726546515705
225,Canyon,16027020200,0.989,1.0,0.9582,0.9978,0.9912,62.31817613871192,,35.670000000000016,35.46091904158049,1049.8461748361592,2472.0,3320.829479939767
226,Canyon,16027020300,0.8857,0.822,0.6659,0.5209,0.8879,70.5844212504615,,35.31,34.882322274881524,1049.846174836159,2479.0,3410.4569131015387
227,Canyon,16027020403,0.8374,0.2747,0.0286,0.6374,0.4352,76.36031345758093,,34.33000000000004,33.30444246341286,0.0,2865.0,3284.3163142943527
228,Canyon,16027020404,0.8462,0.9077,0.6198,0.7824,0.9758,34.06224686889426,,35.59000000000003,34.88255929586169,0.0,2439.0,3271.7425981952492
229,Canyon,16027020405,0.5956,0.6484,0.2835,0.6725,0.8857,62.07795797127018,,35.01000000000005,34.32288572527899,0.0,1604.0,3400.667297489722
230,Canyon,16027020406,0.6989,0.6901,0.3758,0.7011,0.811,74.65039574615602,,34.650000000000034,34.31356565398691,0.0,1968.0,3372.8680892369307
231,Canyon,16027020501,0.9341,0.3231,0.3297,0.1626,0.3297,81.85736224824166,,34.25000000000006,33.255084654300184,1049.846174836159,2243.0,3352.7951199959
232,Canyon,16027020503,0.5934,0.7956,0.8396,0.8901,0.4945,75.71165912045458,,34.35000000000002,34.19951157167532,1049.846174836159,1860.0,3312.541389277082
233,Canyon,16027020505,0.9077,0.9143,0.8022,0.8154,0.8549,82.12787478604817,,34.25000000000006,33.81690423162586,0.0,1685.0,3360.6010220989647
234,Canyon,16027020506,0.8505,0.967,0.9934,0.6132,0.9165,58.96791919726007,,34.31,34.01167752443002,0.0,1505.0,3333.3892379070035
235,Canyon,16027020601,0.8593,0.3912,0.1407,0.4659,0.5429,85.10752898394885,,34.71000000000004,34.061638250556,1049.852904339036,3002.0,3241.063548323648
236,Canyon,16027020603,0.8791,0.7846,0.5121,0.9538,0.6176,83.0955301939463,,35.31,34.55973831514138,0.0,2917.0,3349.49364702535
237,Canyon,16027020604,0.8198,0.8352,0.8857,0.1473,0.9648,40.356502994131375,,35.59000000000003,34.91463538032101,0.0,1320.0,3285.5953547517684
238,Canyon,16027020700,0.4901,0.4066,0.3516,0.5407,0.378,73.24348143948383,,35.05000000000001,31.76158924205386,1053.307380472472,2159.0,3285.4854133000736
239,Canyon,16027020903,0.9253,0.4,0.378,0.6901,0.1582,81.95025101118829,,34.29000000000002,33.72873955960519,0.0,2330.0,3250.8551080473276
240,Canyon,16027020904,0.9363,0.7363,0.7253,0.411,0.7209,85.42998579774932,,33.950000000000045,33.04659326206454,0.0,2383.0,3180.4784331217757
241,Canyon,16027020905,0.6527,0.1824,0.1143,0.5604,0.1165,79.89750783886429,,33.83000000000004,32.59612801608581,0.0,2235.0,3197.651084612293
242,Canyon,16027020906,0.833,0.4044,0.3099,0.3824,0.4176,77.68019335928545,,33.670000000000016,31.35512962962965,0.0,3124.0,3236.031710583748
243,Canyon,16027020907,0.2418,0.0352,0.044,0.1033,0.1165,82.05145016175388,,33.99000000000001,32.9166800830953,0.0,2136.0,3173.7027441357877
244,Canyon,16027020908,0.6923,0.1429,0.1187,0.5626,0.0308,79.84989505884516,,34.35000000000002,33.47779329026881,0.0,2154.0,3206.4493401248897
245,Canyon,16027020909,0.7516,0.4791,0.1165,0.9868,0.3978,82.70250585175164,,34.39000000000004,31.886897148676248,0.0,1239.0,3202.462599456879
246,Canyon,16027020910,0.3099,0.1604,0.0,0.2637,0.5956,42.23563768680829,,33.99000000000001,30.115264852746368,0.0,604.0,3281.9876647571464
