,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Smoke,LST-Max,LST-Mean,Popultatuion
112,Bonneville,16019970700,0.978,0.9677,0.964,0.982,0.7383,29.10368674250657,,42.73000000000002,40.3094374786665,3813.0
113,Bonneville,16019970800,0.616,0.6236,0.39,0.939,0.3512,58.2448163279258,,39.910000000000025,39.51938046819582,2560.0
114,Bonneville,16019970900,0.046,0.0035,0.035,0.2544,0.3297,55.933056018299474,,40.03000000000003,39.155113521021455,3123.0
115,Bonneville,16019971000,0.476,0.5949,0.118,0.7455,0.4838,51.00528793654489,,41.870000000000005,39.20383989993751,3168.0
116,Bonneville,16019971100,0.741,0.7562,0.677,0.5663,0.6523,51.79956709956704,,41.870000000000005,39.88763019781996,2418.0
117,Bonneville,16019971200,0.971,0.9283,0.906,0.8028,0.9354,37.19628754405112,,41.870000000000005,39.85469906399651,3161.0
118,Bonneville,16019971301,0.268,0.2724,0.15,0.3691,0.6308,60.47027655903749,,40.870000000000005,38.415099326759055,4622.0
119,Bonneville,16019971302,0.275,0.4121,0.082,0.3225,0.62,67.01942100116916,,41.870000000000005,37.67363567048961,3567.0
120,Bonneville,16019971400,0.146,0.4695,0.06,0.1612,0.3154,77.58430706854116,,43.47000000000003,37.56428707391253,5956.0
121,Bonneville,16019971500,0.243,0.2365,0.103,0.129,0.8637,38.45529622323153,,48.85000000000002,41.02659851979253,1217.0
122,Boundary,16021970100,0.541,0.5017,0.58,0.7634,0.2365,95.92116834398124,,40.910000000000025,25.216366802986457,4361.0
123,Boundary,16021970200,0.684,0.724,0.777,0.7562,0.2114,90.8163167190046,,38.33000000000004,23.7938667509467,4113.0
124,Butte,16023970100,0.806,0.8064,0.792,0.5985,0.6057,7.936783487120663,,51.55000000000001,35.34563921791729,2537.0
125,Camas,16025970100,0.082,0.301,0.154,0.0931,0.1792,44.36482386588813,,49.950000000000045,30.48544549312101,850.0
126,Canyon,16027020100,0.921,0.8996,0.759,0.8494,0.7419,12.419944906453935,,39.51000000000005,39.29252831898511,618.0
127,Canyon,16027020200,0.996,0.9641,0.928,0.9856,0.9964,56.21694367547002,,39.71000000000004,39.422395144976406,2432.0
128,Canyon,16027020300,0.956,0.7921,0.935,0.8853,0.896,59.504233370800655,,39.51000000000005,38.82216805170822,2512.0
129,Canyon,16027020400,0.913,0.6487,0.767,0.9318,0.8673,60.62685094442559,,39.09000000000003,38.13786132583744,3341.0
130,Canyon,16027020500,0.86,0.8387,0.741,0.6021,0.7849,66.52435934433491,,39.47000000000003,38.41968476517766,7493.0
131,Canyon,16027020600,0.77,0.6308,0.336,0.9641,0.8064,60.90320097095354,,39.77000000000004,38.25762185245173,7241.0
132,Canyon,16027020700,0.695,0.6057,0.645,0.405,0.8458,62.98853306038098,,40.35000000000002,37.70973749769952,7505.0
133,Canyon,16027020900,0.34,0.3405,0.182,0.3655,0.6917,63.63932928103223,,39.57000000000005,35.25185421258161,16193.0
134,Canyon,16027021000,0.853,0.8709,0.347,0.8817,0.8422,68.55787876891767,,39.77000000000004,36.92923722418694,12628.0
135,Canyon,16027021100,0.394,0.8028,0.197,0.2007,0.5125,85.60340330115682,,39.53000000000003,34.9147451882152,9730.0
136,Canyon,16027021200,0.899,0.6917,0.573,0.9426,0.9677,57.39718155915463,,38.450000000000045,36.56844044966333,4293.0
137,Canyon,16027021300,0.992,1.0,0.989,0.8637,1.0,30.12295060290538,,38.47000000000003,37.68295642886088,2117.0
138,Canyon,16027021500,0.939,0.9569,0.77,0.7204,0.9103,51.22684126186526,,38.47000000000003,38.105050949513696,3095.0
139,Canyon,16027021600,0.849,0.7168,0.333,0.9892,0.8924,46.96697516922125,,38.43000000000001,37.4621374263062,2410.0
140,Canyon,16027021700,0.878,0.8888,0.534,0.724,0.8602,51.67740539782011,,38.450000000000045,37.70329817444217,6232.0
141,Canyon,16027021800,0.322,0.0931,0.401,0.3261,0.7204,66.99177742281738,,37.63000000000005,34.66826712191763,3420.0
142,Canyon,16027021901,0.72,0.3978,0.569,0.9211,0.7132,82.00852738153178,,36.31,34.79575924868333,3007.0
