FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.341074379,Ada County,0.801,0.5791,0.4579,0.494,0.013,31.83893788020912,1.5054712295532244,50.55000000000001,41.40613162459895,196.75174848333543,4032.0,3510.8235665255143,56289.0,928.8023304794888
16001000201,14.22858175,Ada County,0.905,0.0539,0.2189,0.063,0.154,39.10452513637589,1.5054712295532244,56.190000000000055,42.500859903597615,196.7541612416564,3285.0,2630.4187349000413,34967.0,230.87332650002168
16001000202,33.88570016,Ada County,0.097,0.0034,0.0135,0.077,0.188,41.67118235050589,1.5054712295532244,55.83000000000004,43.15794770078501,190.90835324977508,5553.0,2382.784179395906,63100.0,163.8744359355153
16001000302,2.04237888,Ada County,0.797,0.4377,0.7306,0.639,0.797,87.21727261819058,1.5054712295532244,49.110000000000014,40.98336758383152,190.89990809559836,3367.0,3068.142483894332,47292.0,1648.567772107005
16001000303,2.107620908,Ada County,0.222,0.3064,0.2424,0.569,0.235,75.38805454754734,1.5054712295532244,48.73000000000002,40.21952092606716,190.89990809559836,2110.0,3150.4883751709667,37968.0,1001.1288045164904
16001000304,4.1511547680000005,Ada County,0.107,0.0808,0.0976,0.424,0.319,84.90843806324939,1.5054712295532244,51.53000000000003,41.56955785575053,190.84114934897997,6598.0,2910.614165341767,106801.0,1589.4372454773286
16001000400,3.93989783,Ada County,0.831,0.5354,0.697,0.787,0.077,71.65134713387349,1.5054712295532244,50.55000000000001,40.02240000723182,190.89990809559836,6162.0,3393.050296856555,83192.0,1563.9999476839223
16001000500,3.139011785,Ada County,0.178,0.2222,0.1582,0.383,0.215,93.42654941843684,1.5054712295532244,50.110000000000014,40.37654038340257,190.89990809559836,6027.0,3297.913480393813,77230.0,1920.0310202084825
16001000600,2.103247003,Ada County,0.175,0.1549,0.0774,0.4,0.026,94.7984938661484,1.5054712295532244,49.93000000000001,40.62838415527053,192.2672647361289,5650.0,3384.7047537992817,59017.0,2686.322620187278
16001000701,2.874692766,Ada County,0.713,0.1751,0.367,0.562,0.097,81.4381794009542,1.5054712295532244,52.73000000000002,41.169785402916496,200.0025131851437,4733.0,3303.5487684699247,60385.0,1646.4368143889503
16001000702,16.45372158,Ada County,0.06,0.0202,0.0067,0.171,0.047,41.79106679689465,1.5054712295532244,56.63000000000005,42.336746603854905,199.97692316417007,3357.0,2454.824387392511,35996.0,204.0267901506572
16001000802,2.802547565,Ada County,0.424,0.1684,0.2694,0.528,0.289,82.06585540052043,1.5054712295532244,50.370000000000005,41.343216483841736,200.0025131851437,5566.0,2935.2650735397247,88573.0,1986.050145771567
16001000803,2.371725386,Ada County,0.0,0.0774,0.0101,0.289,0.063,83.42431494297477,1.5054712295532244,51.43000000000001,41.07678577462,199.97826295563783,4425.0,2713.968846755455,76739.0,1865.7303354428063
16001000804,3.125160649,Ada County,0.457,0.0976,0.1886,0.592,0.05,70.97734731580533,1.5054712295532244,49.79000000000002,40.74697760198052,200.0025131851437,5640.0,3209.0260162560617,74446.0,1804.707224188525
16001000805,2.8765073190000003,Ada County,0.02,0.0,0.0,0.265,0.067,86.285685342518,1.5054712295532244,49.79000000000002,40.355684075335375,199.98125675049013,3206.0,2790.0343554643814,54386.0,1114.5460951284997
16001000900,2.639261144,Ada County,0.865,0.7441,0.6162,0.622,0.02,53.71496238803311,1.5054712295532244,49.39000000000004,40.72404675811996,200.0025131851437,5833.0,3200.3764334330854,78603.0,2210.0882336939376
16001001000,4.428910189000001,Ada County,0.545,0.5286,0.4848,0.713,0.043,80.36883175014812,1.5054712295532244,51.370000000000005,41.03910923479489,195.55418468851235,6083.0,3235.0640149084124,106957.0,1373.4755821213605
16001001100,5.4312777,Ada County,0.855,0.9057,0.9125,0.959,0.478,35.45812893112817,1.5054712295532244,49.870000000000005,40.56332353526876,190.89990809559836,4212.0,3277.879825585704,70435.0,775.5081276731624
16001001201,2.143275123,Ada County,0.134,0.2189,0.1549,0.35,0.377,88.97068901609822,1.5054712295532244,49.49000000000001,41.08678205651001,190.89990809559836,3463.0,3240.8444452471117,71337.0,1615.7515023795663
16001001202,3.329997218,Ada County,0.861,0.4411,0.7542,0.794,0.323,58.39066194896078,1.5054712295532244,51.610000000000014,41.9499355080661,187.85401445193264,6521.0,3208.230445648813,111022.0,1958.2598942579657
16001001400,2.6483397710000003,Ada County,0.784,0.6296,0.7778,0.686,0.42,67.15590877557932,1.5054712295532244,51.55000000000001,42.05394129281248,197.0678698664767,5464.0,2965.461492311756,92989.0,2063.1793774470334
16001001500,2.561999824,Ada County,0.084,0.4949,0.1212,0.319,0.053,75.08993541410197,1.5054712295532244,49.610000000000014,40.66412406199486,200.0025131851437,3590.0,3017.1360271141243,58063.0,1401.2491204605174
