FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000101,1.7102820117559585,Ada,0.022,0.8374,0.989,0.2022,0.9582,36.465149625469536,,48.75000000000006,41.15348584467481,0.0,1703.0,3858.201477343362,31006.0,995.7422157831844
16001000102,2.599361137370375,Ada,0.6725,0.6088,0.6637,0.1978,0.7538,23.035913047240385,,50.23000000000002,41.905980580623726,0.0,3217.0,3958.395655884196,44772.0,1237.611793817328
16001000201,14.26708946551387,Ada,0.2484,0.3077,0.6879,0.3231,0.1055,25.02337009894737,,55.39000000000004,42.26797580162617,1098.0322644359462,4041.0,3316.2190084724525,52611.0,283.23926963294275
16001000202,33.93843965752377,Ada,0.1297,0.1626,0.1538,0.5538,0.1451,25.917399510216946,,55.07000000000005,42.94138480679602,1101.4437442523872,6823.0,3171.1804487415243,86232.0,201.0404741305606
16001000302,2.05109936301627,Ada,0.3275,0.7407,0.9121,0.4967,0.7033,81.68172803880138,,49.35000000000002,40.84225308741647,1101.0954946875568,4138.0,3658.9976218244974,58079.0,2017.4546755817876
16001000303,2.0221640667026453,Ada,0.4044,0.4593,0.5473,0.3868,0.444,68.22077940119696,,48.03000000000003,40.50729305213605,1101.0954946875568,2571.0,3722.643817262885,39693.0,1271.41018987262
16001000305,1.5446697549271216,Ada,0.0857,0.3341,0.233,0.3626,0.578,67.84610911205621,,52.51000000000005,42.04995559711943,0.0,3042.0,3514.075796751229,42362.0,1969.352989722728
16001000306,2.591379850443752,Ada,0.3231,0.2242,0.2286,0.189,0.3407,77.45742176341376,,51.450000000000045,41.82897241549505,0.0,5019.0,3583.349764227707,78511.0,1936.8059835537188
16001000401,1.4809874282685531,Ada,0.0374,0.4242,0.2967,0.6747,0.5538,77.01665227708638,,48.63000000000005,40.04878522258314,0.0,2538.0,3775.8758669392246,32141.0,1713.7215019895325
16001000402,2.3706544257506748,Ada,0.7846,0.5714,0.9231,0.2462,0.3077,54.79448808124595,,50.09000000000003,40.88355465153962,0.0,4992.0,3902.732840135357,73323.0,2105.747655911202
16001000501,1.5563564122004887,Ada,0.2725,0.356,0.5582,0.2264,0.3824,78.01133706860486,,50.33000000000004,40.61321369039159,0.0,3532.0,3779.4058405874166,47135.0,2269.403057238158
16001000502,1.569741819109945,Ada,0.7187,0.2044,0.2132,0.1231,0.2813,88.46365965754255,,50.33000000000004,40.86331932286933,0.0,3825.0,3839.906791466381,50638.0,2436.706440151287
16001000601,0.9593795211220654,Ada,0.2132,0.0088,0.1934,0.0154,0.0044,89.64766260703075,,49.110000000000014,40.93591261506327,0.0,2848.0,3865.476396854137,35733.0,2968.585358867212
16001000602,1.120783512986468,Ada,0.4352,0.1802,0.2418,0.0747,0.3451,84.40036643893373,,49.670000000000016,41.1246413871504,0.0,4025.0,3867.159483337922,48919.0,3591.237695203852
16001000701,2.8587734501652977,Ada,0.4264,0.3385,0.8198,0.156,0.1143,75.71840120704098,,50.43000000000001,41.26838241198145,1096.232365489006,5770.0,3791.325177260826,82242.0,2018.3481134772576
16001000703,2.387765738650661,Ada,0.6549,0.0066,0.0,0.0462,0.0396,49.26272001986774,,51.870000000000005,41.26311324643167,0.0,44.0,3201.3392080537587,475.0,18.427268340345915
16001000704,14.096918054054385,Ada,0.233,0.0923,0.5538,0.0396,0.0088,41.79875306165457,,56.79000000000002,42.488811873775695,0.0,4039.0,3134.4010693940454,48602.0,286.51652684030125
16001000803,2.391848958022514,Ada,0.7407,0.2198,0.1516,0.3451,0.2176,74.15553196970035,,50.05000000000001,41.49881014638883,1096.297427162781,5457.0,3328.0173703720443,97690.0,2281.4985794552977
16001000805,2.8756391246889272,Ada,0.4901,0.0747,0.1275,0.2505,0.0374,86.90552709227353,,48.53000000000003,40.87462906738613,1096.2893950200764,3910.0,3365.446744033998,70127.0,1359.6977334292476
16001000806,0.7640905013662967,Ada,0.7253,0.7275,0.6,0.0923,0.9978,61.214259438852295,,49.23000000000002,41.11055091935627,0.0,2729.0,3720.4832868508847,38964.0,3571.5664507282586
16001000807,1.0383013807030153,Ada,0.7912,0.4198,0.4681,0.0857,0.6198,79.73795707951639,,49.23000000000002,41.23283426764216,0.0,2424.0,3627.6971211040704,37453.0,2334.5822754841693
16001000808,1.3465424708202705,Ada,0.3099,0.1978,0.3648,0.1912,0.1978,69.50406838917601,,48.47000000000003,40.769575993511225,0.0,1827.0,3668.9857481496488,25838.0,1356.8082994716465
16001000809,1.1693133792087615,Ada,0.1363,0.1341,0.156,0.5055,0.1033,81.85455308654932,,49.33000000000004,41.61283704896376,0.0,2950.0,3424.5479105170743,52567.0,2522.8480683220905
16001000810,1.6356904466443865,Ada,0.389,0.0813,0.2154,0.0264,0.1912,78.96522357390087,,49.370000000000005,41.584233817817584,0.0,3860.0,3496.0908594421776,61162.0,2359.8597203515965
16001000901,1.1897961683145577,Ada,0.6242,0.4462,0.4198,0.2176,0.6088,72.32801015793349,,49.370000000000005,41.353805910736014,0.0,2669.0,3556.340521619029,38270.0,2243.2413812366312
16001000902,1.5432561723744496,Ada,0.7758,0.6637,0.8615,0.0198,0.8967,45.25037001718468,,48.690000000000055,40.75048200812751,0.0,4553.0,3757.4057446953952,69947.0,2950.2554932242824
16001001001,1.8254220184427343,Ada,0.0637,0.2396,0.3231,0.1495,0.4242,69.43481419171886,,51.170000000000016,41.935463271435935,0.0,2813.0,3726.3146085877024,54501.0,1541.0135144528208
16001001002,0.943246820459962,Ada,0.7231,0.3692,0.3934,0.0088,0.7802,74.10246689593545,,49.93000000000001,40.61776445284523,0.0,1114.0,3779.0991533581614,22350.0,1181.0270396212652
16001001003,1.6661937337220312,Ada,0.2637,0.4901,0.4462,0.4066,0.6791,82.90216621224155,,50.75000000000006,40.93665033977648,0.0,3529.0,3704.8586448479855,67039.0,2118.0010034707875
16001001100,5.659757563673766,Ada,0.8286,0.9209,0.7538,0.7736,0.9385,35.40165167705454,,50.09000000000003,41.173169768632704,1101.095494687557,5195.0,3771.1418717163538,81022.0,917.8838389374242
