FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.307719265999999,Ada,0.5926,0.5152,0.9327,0.0236,0.5253,32.50793014474993,,50.07000000000005,40.53073145075157,66.80980231780985,4807.0,2737.408284543443,93575.0,1115.9037307608987
16001000201,14.22068577,Ada,0.0707,0.1919,0.5219,0.3434,0.1145,38.679250535328045,,55.09000000000003,41.71970546355131,66.81358718825786,3895.0,2150.8486040870503,72966.0,273.89677706098416
16001000202,33.73954765,Ada,0.2862,0.0303,0.0303,0.1448,0.0438,37.51318302279314,,55.29000000000002,42.80450078293828,72.03819848918417,6675.0,1987.8723467331608,125740.0,197.83904838451505
16001000302,2.058651898,Ada,0.6128,0.5118,0.697,0.101,0.5017,86.6067231789065,,49.23000000000002,40.30976099289093,72.02408996224405,4072.0,2465.935507535906,80776.0,1977.9934645366643
16001000303,2.042010898,Ada,0.6397,0.4141,0.431,0.2727,0.3872,74.71084096252932,,48.51000000000005,39.85477422828065,72.02408996224405,2523.0,2513.9904288081225,47822.0,1235.5467850201453
16001000304,4.1376294,Ada,0.7037,0.1987,0.1684,0.0774,0.266,83.03100514099809,,52.27000000000004,41.40659554561666,72.14243740213128,7892.0,2355.5610645277657,156237.0,1907.3723712423352
16001000400,3.864664029,Ada,0.7677,0.6835,0.8687,0.2391,0.4983,67.60419054741796,,49.33000000000004,39.578984657588144,72.02408996224405,7392.0,2668.40875467024,142336.0,1912.714777929277
16001000500,3.111137169,Ada,0.3468,0.1818,0.2997,0.1347,0.1818,89.52821051594805,,50.73000000000002,39.76824539742212,72.02408996224405,7209.0,2611.450286215102,139019.0,2317.159163482708
16001000600,2.105607033,Ada,0.5825,0.037,0.1886,0.0269,0.0101,94.70922446920002,,49.410000000000025,39.94046437676748,70.80570559701168,6802.0,2661.1435200047918,120889.0,3230.4223406343463
16001000701,2.852417586,Ada,0.3199,0.1414,0.6902,0.0404,0.0269,79.97205027367443,,50.110000000000014,40.32597764559196,63.91320550441744,5685.0,2602.328247512063,114758.0,1993.046189275598
16001000702,16.520812720000002,Ada,0.1279,0.0067,0.0539,0.0505,0.0202,34.341948297224604,,55.49000000000001,41.75477345593369,63.92999966605953,4028.0,2026.702554930597,70742.0,243.8136711714991
16001000802,2.804452323,Ada,0.4377,0.0943,0.1852,0.0842,0.0909,82.44074012973502,,49.110000000000014,40.35960479443214,63.91320550441744,6673.0,2363.8050177707946,135394.0,2379.430716390895
16001000803,2.378081309,Ada,0.4175,0.0269,0.037,0.0438,0.0774,81.67148647050605,,50.31,40.269452428176365,63.928861531281576,5338.0,2211.0598823701284,110989.0,2244.666731872456
16001000804,3.119933892,Ada,0.569,0.303,0.6431,0.0135,0.4242,69.10590349593167,,48.71000000000004,39.713675153851,63.91320550441744,6805.0,2543.1275087283093,139427.0,2181.1359585051105
16001000805,2.893388456,Ada,0.2492,0.0034,0.0202,0.0539,0.0067,84.98463871150732,,48.51000000000005,39.7373645602547,63.92692872760972,3822.0,2264.680887221973,81747.0,1320.9425758488617
16001000900,2.656206554,Ada,0.7912,0.7037,0.8889,0.0101,0.8754,59.08431078485038,,49.01000000000005,39.91576594600282,63.91320550441744,7044.0,2539.4876263207366,145225.0,2651.902198416155
16001001000,4.4230898,Ada,0.5589,0.3636,0.7138,0.0303,0.3502,80.1505439196174,,50.47000000000003,40.34118832670874,67.87689261505264,7306.0,2563.557595928308,155831.0,1651.78649549462
16001001100,5.628969352,Ada,0.8418,0.9158,0.8114,0.6734,0.936,36.14364153668605,,49.33000000000004,40.34242491589821,72.02408996224405,5091.0,2591.167172988141,102178.0,904.4284453584994
16001001201,2.129131059,Ada,0.3098,0.2795,0.2323,0.4613,0.3805,90.01769401942144,,49.93000000000001,41.09136697983647,72.02408996224405,4142.0,2566.411745168659,83669.0,1945.3945695317573
16001001202,3.308602461,Ada,0.4512,0.4983,0.8552,0.2458,0.3098,61.80567241648159,,51.85000000000002,41.882738554632105,73.21778758799529,7817.0,2543.57881001607,151331.0,2362.628962573331
16001001400,2.643151065,Ada,0.6801,0.7542,0.8148,0.3737,0.7441,65.16482379904295,,51.370000000000005,41.43183473699903,66.22749242029322,6544.0,2387.321939287031,134541.0,2475.832761378699
16001001500,2.541475705,Ada,0.1751,0.1212,0.2828,0.1313,0.1684,74.62148862706296,,49.53000000000003,40.01698800454592,63.91320550441744,4263.0,2422.251808758809,86993.0,1677.3719267168838
