FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.290472208,Ada,0.6272,0.63,0.8422,0.1863,0.67,28.58137107754732,1.5895633697509766,53.03000000000003,41.648196656710034,42.51051894152004,3803.0,3414.792488154671,90694.0,886.382620754177
16001000200,48.34291995,Ada,0.3799,0.125,0.3942,0.0752,0.028,17.187434245684376,1.5895633697509766,61.150000000000034,43.76611970831474,0.0,8501.0,2527.893671835592,187759.0,175.8478802851047
16001000301,6.183234462000001,Ada,0.491,0.136,0.3261,0.0716,0.025,78.83992856983632,1.5895633697509766,54.410000000000025,41.084080939473154,0.0,8247.0,2972.441541342568,197937.0,1333.7679576414548
16001000302,2.057457956,Ada,0.5949,0.756,0.8637,0.9032,0.344,84.8090569671221,1.5895633697509766,51.05000000000001,40.91927049898557,39.28877198696136,3239.0,3037.782563001673,85107.0,1574.2727527210768
16001000400,3.959828478,Ada,0.6953,0.738,0.9247,0.4121,0.616,64.7815664374812,1.5895633697509766,51.110000000000014,40.29620383672133,39.28877198696136,5886.0,3308.2390544882683,150947.0,1486.428018966331
16001000500,3.094456921,Ada,0.4265,0.179,0.1362,0.2688,0.315,91.3286622111942,1.5895633697509766,52.31,40.59285082928799,39.28877198696136,5711.0,3228.455169046264,145554.0,1845.5580884785568
16001000600,2.065208159,Ada,0.448,0.143,0.344,0.0465,0.111,92.22810040435355,1.5895633697509766,51.29000000000002,40.83372562423032,40.04157397753799,5304.0,3299.243671636609,111655.0,2568.264112692768
16001000700,19.38290978,Ada,0.5017,0.189,0.5304,0.0573,0.078,33.6927513686146,1.5895633697509766,61.47000000000003,43.31423393752925,0.0,7697.0,2645.468134087376,171594.0,397.1024003806718
16001000801,5.886933795,Ada,0.4802,0.215,0.5806,0.0609,0.129,73.29057658225588,1.5895633697509766,51.47000000000003,41.11473251608093,0.0,8406.0,3016.2997174664624,201774.0,1427.9080235520128
16001000802,2.818506758,Ada,0.5698,0.197,0.2473,0.2974,0.068,76.19762718965345,1.5895633697509766,51.85000000000002,41.47836245921758,44.30023646354674,5320.0,2952.517853916491,124912.0,1887.524301618155
16001000803,2.333674704,Ada,0.3655,0.053,0.0465,0.1326,0.1,70.80746226458506,1.5895633697509766,53.49000000000001,41.40973085541319,44.31167033682775,4175.0,2772.726558364309,100704.0,1789.0239770109797
